# Sweep from 15814.746Hz to 15839.324Hz step 0.24578000000001338Hz delay 0.9s
# Excitation 0.000674Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
2028.02 15814.746 0.75000889 -0.32223971
2028.93 15814.992 0.75198204 -0.32290581
2029.85 15815.238 0.74702359 -0.3261186
2030.77 15815.483 0.75256969 -0.32166645
2031.69 15815.729 0.74569761 -0.31730133
2032.60 15815.975 0.75062883 -0.31795457
2033.52 15816.221 0.75294798 -0.32652935
2034.44 15816.466 0.74983615 -0.32356405
2035.35 15816.712 0.75366961 -0.31965308
2036.27 15816.958 0.74838141 -0.32544472
2037.18 15817.204 0.75198915 -0.32465329
2038.10 15817.450 0.7529182 -0.32903779
2039.02 15817.695 0.75077406 -0.32319025
2039.94 15817.941 0.74772436 -0.32449935
2040.85 15818.187 0.75419587 -0.3257326
2041.77 15818.433 0.75155168 -0.32675507
2042.68 15818.678 0.75454608 -0.32788128
2043.60 15818.924 0.75498821 -0.32875496
2044.52 15819.170 0.75739121 -0.32237696
2045.43 15819.416 0.75671892 -0.3342916
2046.35 15819.662 0.76220368 -0.33202718
2047.27 15819.907 0.7617877 -0.33385683
2048.18 15820.153 0.75795623 -0.33314311
2049.09 15820.399 0.76255321 -0.33829258
2050.01 15820.645 0.75750006 -0.3363385
2050.93 15820.890 0.75759993 -0.33217299
2051.84 15821.136 0.76255384 -0.33165509
2052.76 15821.382 0.7594814 -0.34002679
2053.68 15821.628 0.76635092 -0.33656588
2054.60 15821.874 0.76445423 -0.33849975
2055.51 15822.119 0.77023753 -0.34362878
2056.43 15822.365 0.77095223 -0.33672148
2057.34 15822.611 0.77492439 -0.34214327
2058.25 15822.857 0.76835784 -0.34344333
2059.17 15823.103 0.77101021 -0.34216527
2060.08 15823.348 0.77642983 -0.34903226
2061.00 15823.594 0.78194728 -0.34984134
2061.91 15823.840 0.77543177 -0.34827758
2062.83 15824.086 0.78832858 -0.34858681
2063.74 15824.331 0.78494759 -0.3463507
2064.66 15824.577 0.79363599 -0.34872457
2065.58 15824.823 0.79831779 -0.35157692
2066.49 15825.069 0.80771451 -0.35952041
2067.41 15825.315 0.81160522 -0.35091418
2068.32 15825.560 0.82296663 -0.35120945
2069.24 15825.806 0.82460406 -0.34679863
2070.16 15826.052 0.83712411 -0.339086
2071.07 15826.298 0.83762563 -0.33515022
2071.99 15826.543 0.84301996 -0.33142075
2072.90 15826.789 0.85116005 -0.31473709
2073.82 15827.035 0.84939842 -0.30714719
2074.74 15827.281 0.85000318 -0.28673347
2075.65 15827.527 0.84674616 -0.28407038
2076.57 15827.772 0.84036901 -0.27495375
2077.48 15828.018 0.83377557 -0.26263834
2078.40 15828.264 0.81972513 -0.26156943
2079.31 15828.510 0.81636711 -0.26067198
2080.23 15828.755 0.80729626 -0.25922898
2081.15 15829.001 0.80350679 -0.24793229
2082.07 15829.247 0.79671787 -0.25233101
2082.99 15829.493 0.78629409 -0.25098643
2083.90 15829.739 0.78283176 -0.25588483
2084.82 15829.984 0.77192891 -0.25639724
2085.73 15830.230 0.76963448 -0.25778539
2086.65 15830.476 0.77509935 -0.26308331
2087.57 15830.722 0.77548015 -0.25960696
2088.48 15830.967 0.76383651 -0.25698969
2089.40 15831.213 0.76704356 -0.26375017
2090.32 15831.459 0.76288433 -0.26245601
2091.24 15831.705 0.76228986 -0.26867718
2092.15 15831.951 0.75697341 -0.27619564
2093.06 15832.196 0.75831372 -0.27461346
2093.98 15832.442 0.7624256 -0.26936766
2094.89 15832.688 0.7574908 -0.27109297
2095.81 15832.934 0.7578459 -0.26758875
2096.72 15833.180 0.74960491 -0.27537172
2097.64 15833.425 0.75692424 -0.27948965
2098.55 15833.671 0.7575382 -0.27925319
2099.47 15833.917 0.75706458 -0.2713127
2100.39 15834.163 0.75610365 -0.27738091
2101.30 15834.408 0.76151133 -0.27634303
2102.22 15834.654 0.75374817 -0.27627905
2103.13 15834.900 0.74757435 -0.27901388
2104.05 15835.146 0.7572026 -0.28030308
2104.97 15835.392 0.75182447 -0.28083619
2105.88 15835.637 0.75406456 -0.28218963
2106.80 15835.883 0.75292769 -0.27788485
2107.71 15836.129 0.74737636 -0.27780004
2108.63 15836.375 0.74872446 -0.27880864
2109.54 15836.620 0.75508115 -0.28393865
2110.45 15836.866 0.75350277 -0.28562232
2111.37 15837.112 0.75369434 -0.28016288
2112.29 15837.358 0.75031795 -0.28412626
2113.20 15837.604 0.75142805 -0.28373353
2114.12 15837.849 0.7491156 -0.28222698
2115.04 15838.095 0.74861805 -0.28703155
2115.95 15838.341 0.75259243 -0.2897018
2116.86 15838.587 0.74963191 -0.28520952
2117.78 15838.832 0.74938578 -0.28455113
2118.69 15839.078 0.74869712 -0.28997025
2119.61 15839.324 0.74763813 -0.2884384
