# Sweep from 15805.365Hz to 15838.034Hz step 0.27224166666666555Hz delay 0.9s
# Excitation 0.003272Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
13272.39 15805.365 3.6900333 -0.41968124
13273.31 15805.637 3.684177 -0.41985223
13274.23 15805.909 3.6884783 -0.42331064
13275.14 15806.182 3.690946 -0.42714913
13276.06 15806.454 3.6827701 -0.42535228
13276.97 15806.726 3.6885042 -0.42385594
13277.89 15806.998 3.6864481 -0.42560993
13278.81 15807.271 3.6897461 -0.42822677
13279.73 15807.543 3.6897468 -0.42729496
13280.65 15807.815 3.6849808 -0.42701492
13281.56 15808.087 3.6840609 -0.43343263
13282.48 15808.360 3.692054 -0.42128576
13283.39 15808.632 3.6918225 -0.42876312
13284.31 15808.904 3.6860297 -0.43068223
13285.22 15809.176 3.6918614 -0.42858747
13286.15 15809.449 3.6870299 -0.43278192
13287.06 15809.721 3.6926365 -0.43280258
13287.98 15809.993 3.6957526 -0.43462001
13288.89 15810.265 3.6915535 -0.43543977
13289.81 15810.538 3.6943134 -0.43427571
13290.72 15810.810 3.6946019 -0.4322188
13291.64 15811.082 3.6928548 -0.44059911
13292.56 15811.354 3.6873344 -0.4332891
13293.47 15811.627 3.6927081 -0.4340975
13294.39 15811.899 3.6901026 -0.43888602
13295.31 15812.171 3.6966419 -0.44702071
13296.22 15812.443 3.696385 -0.44777588
13297.14 15812.716 3.6913941 -0.44306898
13298.06 15812.988 3.6928895 -0.44882887
13298.97 15813.260 3.6948049 -0.44576655
13299.89 15813.532 3.694631 -0.4499604
13300.80 15813.804 3.7020943 -0.45321792
13301.72 15814.077 3.6928927 -0.45159422
13302.63 15814.349 3.7007901 -0.45586836
13303.54 15814.621 3.6912634 -0.4506015
13304.46 15814.893 3.7000555 -0.45597412
13305.38 15815.166 3.6946665 -0.45862649
13306.29 15815.438 3.6937427 -0.46177425
13307.21 15815.710 3.6933257 -0.46155199
13308.13 15815.982 3.6989484 -0.46655205
13309.05 15816.255 3.6999013 -0.46809222
13309.96 15816.527 3.6981094 -0.46437569
13310.87 15816.799 3.7038906 -0.47343605
13311.79 15817.071 3.7027105 -0.47273747
13312.71 15817.344 3.7017537 -0.47812279
13313.62 15817.616 3.7095899 -0.47734255
13314.54 15817.888 3.7052355 -0.48051066
13315.46 15818.160 3.7098291 -0.48299773
13316.38 15818.433 3.7084642 -0.49070155
13317.29 15818.705 3.7142447 -0.49059503
13318.21 15818.977 3.7151597 -0.49682666
13319.13 15819.249 3.709564 -0.50061277
13320.04 15819.522 3.7101856 -0.50830619
13320.96 15819.794 3.7166922 -0.507886
13321.88 15820.066 3.7243731 -0.51614194
13322.79 15820.338 3.7262596 -0.52014337
13323.70 15820.611 3.7249054 -0.52377914
13324.62 15820.883 3.7356151 -0.5369663
13325.53 15821.155 3.7416953 -0.54769805
13326.45 15821.427 3.745221 -0.55680488
13327.37 15821.699 3.74975 -0.56305964
13328.28 15821.972 3.7682019 -0.57223326
13329.20 15822.244 3.774473 -0.59481022
13330.11 15822.516 3.8049152 -0.62590499
13331.03 15822.788 4.0901605 -0.20440905
13331.94 15823.061 4.0606151 -0.032581923
13332.86 15823.333 4.0553668 -0.030752062
13333.77 15823.605 4.0356799 -0.018474902
13334.69 15823.877 4.0250202 -0.019613863
13335.61 15824.150 4.0091554 -0.016529112
13336.53 15824.422 3.9941688 -0.016998708
13337.44 15824.694 3.9899928 -0.021996279
13338.36 15824.966 3.9747151 -0.021059881
13339.28 15825.239 3.9679517 -0.028818752
13340.19 15825.511 3.955925 -0.025726015
13341.11 15825.783 3.9373626 -0.036587821
13342.02 15826.055 3.9286865 -0.039297085
13342.94 15826.328 3.9202032 -0.045944681
13343.86 15826.600 3.9108481 -0.047954217
13344.77 15826.872 3.8952417 -0.054516967
13345.69 15827.144 3.8924927 -0.059487018
13346.61 15827.417 3.8731332 -0.062008972
13347.53 15827.689 3.8628523 -0.075080315
13348.44 15827.961 3.8558987 -0.082953292
13349.36 15828.233 3.8461267 -0.089127496
13350.28 15828.506 3.8379126 -0.089474064
13351.19 15828.778 3.8260132 -0.10523237
13352.11 15829.050 3.8157359 -0.10755137
13353.02 15829.322 3.8113244 -0.11640856
