# Sweep from 15836.045Hz to 15814.671Hz step -0.17811666666666498Hz delay 0.9s
# Excitation 0.001970Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
11164.59 15836.045 2.2075772 -0.26995806
11165.51 15835.867 2.2078045 -0.26904684
11166.42 15835.689 2.2110808 -0.27000516
11167.34 15835.511 2.2087756 -0.26367013
11168.25 15835.333 2.2092211 -0.2663696
11169.17 15835.154 2.2070305 -0.25790953
11170.08 15834.976 2.2103852 -0.26215642
11171.00 15834.798 2.2096906 -0.26006791
11171.91 15834.620 2.2096706 -0.25668342
11172.83 15834.442 2.2109878 -0.25426732
11173.74 15834.264 2.2133388 -0.25683812
11174.66 15834.086 2.2125278 -0.25553874
11175.57 15833.908 2.2179252 -0.25604564
11176.49 15833.729 2.2192137 -0.24358906
11177.41 15833.551 2.2221852 -0.24538957
11178.32 15833.373 2.2213271 -0.24251634
11179.24 15833.195 2.2226945 -0.24193696
11180.16 15833.017 2.2215279 -0.23173784
11181.07 15832.839 2.2231886 -0.24167568
11181.99 15832.661 2.2311958 -0.23565795
11182.91 15832.483 2.2344182 -0.23093817
11183.82 15832.305 2.2347447 -0.2314581
11184.73 15832.126 2.2319734 -0.2304344
11185.65 15831.948 2.2336271 -0.22299812
11186.56 15831.770 2.2399054 -0.22219128
11187.48 15831.592 2.2384133 -0.21778652
11188.39 15831.414 2.2417437 -0.21501528
11189.31 15831.236 2.2486574 -0.20967111
11190.23 15831.058 2.2498293 -0.20789156
11191.15 15830.880 2.2576555 -0.20639598
11192.06 15830.701 2.2586676 -0.20158222
11192.98 15830.523 2.2603319 -0.19155028
11193.90 15830.345 2.2725042 -0.18568961
11194.81 15830.167 2.2761822 -0.1919778
11195.73 15829.989 2.2796594 -0.18222664
11196.64 15829.811 2.2776564 -0.18523359
11197.56 15829.633 2.2895135 -0.18035431
11198.47 15829.455 2.2993072 -0.18078012
11199.38 15829.277 2.3056859 -0.17510894
11200.30 15829.098 2.3164862 -0.17186188
11201.22 15828.920 2.3166529 -0.17046941
11202.14 15828.742 2.3276889 -0.16255092
11203.05 15828.564 2.3321147 -0.16160759
11203.97 15828.386 2.3465884 -0.15755084
11204.88 15828.208 2.3540342 -0.153663
11205.80 15828.030 2.3693415 -0.15131064
11206.72 15827.852 2.3742862 -0.15582285
11207.63 15827.674 2.3863995 -0.15388832
11208.55 15827.495 2.3956841 -0.14836742
11209.46 15827.317 2.4099766 -0.15035961
11210.38 15827.139 2.4150586 -0.15673123
11211.30 15826.961 2.4299914 -0.15246917
11212.22 15826.783 2.4406881 -0.15102492
11213.13 15826.605 2.453146 -0.1517387
11214.05 15826.427 2.4643327 -0.15604232
11214.96 15826.249 2.4827341 -0.1650897
11215.88 15826.070 2.4841518 -0.16299205
11216.79 15825.892 2.5110849 -0.17232148
11217.71 15825.714 2.5109989 -0.17938241
11218.62 15825.536 2.5344812 -0.18235392
11219.54 15825.358 2.5308711 -0.19153347
11220.45 15825.180 2.5424174 -0.199038
11221.37 15825.002 2.5542165 -0.21431343
11222.28 15824.824 2.5721947 -0.23119044
11223.20 15824.646 2.5855859 -0.2503389
11224.12 15824.467 2.590951 -0.26108896
11225.03 15824.289 2.5969323 -0.28584051
11225.95 15824.111 2.6003686 -0.31952661
11226.86 15823.933 2.5910986 -0.38225238
11227.78 15823.755 2.5743818 -0.43933468
11228.70 15823.577 2.2729046 -0.49640227
11229.61 15823.399 2.2686011 -0.47892775
11230.53 15823.221 2.2653073 -0.47750825
11231.44 15823.042 2.2493734 -0.46618496
11232.36 15822.864 2.2561735 -0.46354438
11233.27 15822.686 2.2427994 -0.45827565
11234.19 15822.508 2.2427764 -0.46033168
11235.11 15822.330 2.2389777 -0.45362216
11236.02 15822.152 2.2328659 -0.44937124
11236.94 15821.974 2.2298307 -0.44708781
11237.86 15821.796 2.2245358 -0.44585144
11238.77 15821.618 2.2256127 -0.44051043
11239.69 15821.439 2.2285462 -0.43652113
11240.61 15821.261 2.2240226 -0.4335327
11241.53 15821.083 2.2208985 -0.4366523
11242.44 15820.905 2.2179072 -0.4337013
11243.36 15820.727 2.2211507 -0.42967582
11244.27 15820.549 2.2163156 -0.42602298
11245.19 15820.371 2.2126387 -0.42485243
11246.10 15820.193 2.2147988 -0.41977884
11247.02 15820.015 2.2175564 -0.42021563
11247.94 15819.836 2.2096815 -0.42039522
11248.86 15819.658 2.2112026 -0.41608013
11249.78 15819.480 2.210649 -0.41515594
11250.69 15819.302 2.2117338 -0.414684
11251.61 15819.124 2.2115914 -0.41360636
11252.53 15818.946 2.2113497 -0.4091257
11253.44 15818.768 2.2063384 -0.40938332
11254.35 15818.590 2.2093718 -0.41163287
11255.27 15818.411 2.2085067 -0.40359654
11256.18 15818.233 2.2076913 -0.40174464
11257.10 15818.055 2.2049026 -0.40467799
11258.02 15817.877 2.2075274 -0.40240636
11258.94 15817.699 2.2048471 -0.4018417
11259.85 15817.521 2.2054273 -0.40179481
11260.77 15817.343 2.2035808 -0.4036153
11261.68 15817.165 2.2035508 -0.4008939
11262.60 15816.987 2.2121128 -0.40164301
11263.52 15816.808 2.2090123 -0.39704949
11264.43 15816.630 2.2040817 -0.39624524
11265.35 15816.452 2.2010859 -0.39496848
11266.26 15816.274 2.2017589 -0.39647858
11267.18 15816.096 2.2010329 -0.39298851
11268.09 15815.918 2.2007932 -0.39472943
11269.01 15815.740 2.2024242 -0.39018801
11269.93 15815.562 2.2031986 -0.39283594
11270.84 15815.383 2.1985686 -0.39335819
11271.76 15815.205 2.1983474 -0.39372145
11272.67 15815.027 2.2004704 -0.38750713
11273.59 15814.849 2.2013066 -0.39016905
11274.51 15814.671 2.1965043 -0.3839115
