# Sweep from 32354.297Hz to 32354.526Hz step 0.005725000000074943Hz delay 20s
# Excitation 0.040000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
19144.71 32354.297 0.0700315 -1.69531
19164.75 32354.303 0.0891309 -1.75715
19184.78 32354.308 0.104592 -1.84537
19204.81 32354.314 0.139154 -1.9145
19224.84 32354.320 0.168257 -2.00545
19244.88 32354.326 0.191904 -2.11732
19264.91 32354.331 0.229194 -2.25465
19284.94 32354.337 0.301045 -2.40745
19304.97 32354.343 0.361981 -2.58662
19325.01 32354.349 0.466574 -2.74123
19345.04 32354.354 0.583899 -2.95587
19365.07 32354.360 0.743061 -3.20053
19385.10 32354.366 0.958615 -3.50339
19405.13 32354.371 1.29058 -3.90813
19425.16 32354.377 1.94724 -4.32195
19445.20 32354.383 3.03955 -4.67847
19465.23 32354.389 4.90948 -4.32649
19485.26 32354.394 6.51019 -2.50931
19505.29 32354.400 6.95675 -0.802178
19525.32 32354.406 6.90764 0.454749
19545.35 32354.412 6.63115 1.44247
19565.38 32354.417 6.21188 2.22737
19585.42 32354.423 5.62798 2.71849
19605.48 32354.429 5.055 3.06865
19625.51 32354.434 4.45655 3.27147
19645.54 32354.440 3.87993 3.28511
19665.57 32354.446 3.39971 3.28056
19685.60 32354.452 2.9013 3.18052
19705.63 32354.457 2.51568 3.07229
19725.67 32354.463 2.18553 2.9104
19745.70 32354.469 1.88903 2.76579
19765.73 32354.474 1.65893 2.58025
19785.76 32354.480 1.44701 2.42018
19805.79 32354.486 1.26784 2.24647
19825.82 32354.492 1.14142 2.11368
19845.85 32354.497 1.03865 1.98544
19865.89 32354.503 0.94952 1.87175
19885.92 32354.509 0.858567 1.77534
19905.95 32354.515 0.79854 1.67984
19925.98 32354.520 0.713957 1.58526
19946.01 32354.526 0.685763 1.50704
