# Sweep from 15838.037Hz to 15815.572Hz step -0.18720833333333456Hz delay 0.9s
# Excitation 0.001127Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
8723.76 15838.037 1.2537417 -0.28654665
8724.68 15837.850 1.2569508 -0.28635327
8725.60 15837.663 1.2581539 -0.28431924
8726.52 15837.475 1.2583168 -0.28185312
8727.44 15837.288 1.2568333 -0.28539344
8728.35 15837.101 1.2529378 -0.2808448
8729.27 15836.914 1.2598579 -0.28315006
8730.18 15836.727 1.2576058 -0.27874503
8731.10 15836.539 1.2565346 -0.28030794
8732.01 15836.352 1.2562311 -0.28580143
8732.93 15836.165 1.2622879 -0.27395669
8733.84 15835.978 1.2619522 -0.27940288
8734.76 15835.791 1.2600078 -0.27600484
8735.68 15835.603 1.2572132 -0.27061276
8736.59 15835.416 1.2581071 -0.27324688
8737.51 15835.229 1.256034 -0.27353968
8738.43 15835.042 1.2558364 -0.27576604
8739.35 15834.854 1.2668667 -0.27065332
8740.27 15834.667 1.2609022 -0.27006695
8741.18 15834.480 1.2632397 -0.26888813
8742.10 15834.293 1.2641683 -0.26419917
8743.02 15834.106 1.2654695 -0.27240671
8743.93 15833.918 1.2585971 -0.26646515
8744.84 15833.731 1.2636912 -0.26827928
8745.76 15833.544 1.268299 -0.26387301
8746.68 15833.357 1.2609523 -0.26489442
8747.59 15833.170 1.2687437 -0.2625336
8748.51 15832.982 1.2700411 -0.26212857
8749.43 15832.795 1.2730371 -0.26300617
8750.34 15832.608 1.2787611 -0.2597437
8751.26 15832.421 1.2748355 -0.25652454
8752.17 15832.234 1.2771419 -0.25664599
8753.09 15832.046 1.2697898 -0.25509027
8754.01 15831.859 1.2832281 -0.25047797
8754.93 15831.672 1.2815439 -0.25180944
8755.84 15831.485 1.2843722 -0.24627028
8756.76 15831.298 1.2772879 -0.24218983
8757.67 15831.110 1.2885034 -0.24372218
8758.59 15830.923 1.2871232 -0.24313138
8759.50 15830.736 1.2910202 -0.23972342
8760.42 15830.549 1.2913619 -0.24310549
8761.34 15830.361 1.2968535 -0.24005485
8762.25 15830.174 1.3044358 -0.23126405
8763.17 15829.987 1.3073203 -0.23007469
8764.08 15829.800 1.3169891 -0.23546241
8765.00 15829.613 1.3185478 -0.22733977
8765.91 15829.425 1.3276701 -0.22598607
8766.83 15829.238 1.3269599 -0.23118173
8767.74 15829.051 1.3401259 -0.22316766
8768.66 15828.864 1.3449707 -0.22219319
8769.57 15828.677 1.3580252 -0.22569778
8770.49 15828.489 1.3606907 -0.22545173
8771.40 15828.302 1.3722632 -0.21810699
8772.32 15828.115 1.3809148 -0.23136758
8773.23 15827.928 1.3925468 -0.23280012
8774.14 15827.741 1.4047142 -0.23977941
8775.06 15827.553 1.405812 -0.24250116
8775.98 15827.366 1.4192393 -0.25817738
8776.89 15827.179 1.4312325 -0.26391848
8777.81 15826.992 1.4396504 -0.27826601
8778.72 15826.805 1.4419384 -0.29452423
8779.64 15826.617 1.4506525 -0.3117803
8780.55 15826.430 1.4386339 -0.3336379
8781.47 15826.243 1.4359807 -0.35479954
8782.38 15826.056 1.4266525 -0.36749398
8783.30 15825.868 1.4146755 -0.38266842
8784.21 15825.681 1.3959899 -0.3980746
8785.13 15825.494 1.382911 -0.4021056
8786.04 15825.307 1.3613796 -0.4028677
8786.96 15825.120 1.34507 -0.40757953
8787.87 15824.932 1.3351467 -0.40739727
8788.79 15824.745 1.3255268 -0.40857077
8789.71 15824.558 1.3217286 -0.40494444
8790.62 15824.371 1.3136088 -0.40351031
8791.54 15824.184 1.3125097 -0.40165915
8792.45 15823.996 1.3030617 -0.39729807
8793.36 15823.809 1.3016048 -0.39141372
8794.28 15823.622 1.2987778 -0.39253476
8795.20 15823.435 1.2933089 -0.39204934
8796.12 15823.248 1.2901081 -0.38393117
8797.03 15823.060 1.2896955 -0.38555493
8797.95 15822.873 1.28819 -0.38244906
8798.87 15822.686 1.2865816 -0.38126225
8799.78 15822.499 1.2792689 -0.38134934
8800.70 15822.311 1.2861128 -0.38142335
8801.62 15822.124 1.2790179 -0.38160843
8802.54 15821.937 1.2781378 -0.36892473
8803.45 15821.750 1.2766258 -0.37266207
8804.37 15821.563 1.2776687 -0.3741537
8805.29 15821.375 1.2761309 -0.3760328
8806.20 15821.188 1.2687984 -0.36945139
8807.12 15821.001 1.2737752 -0.36467813
8808.04 15820.814 1.275443 -0.36546788
8808.95 15820.627 1.2659627 -0.36947651
8809.87 15820.439 1.2696721 -0.36307475
8810.79 15820.252 1.2712487 -0.36134446
8811.70 15820.065 1.2664165 -0.36353222
8812.62 15819.878 1.2647821 -0.36690184
8813.53 15819.691 1.2667457 -0.36228317
8814.45 15819.503 1.2678145 -0.35816598
8815.36 15819.316 1.2619278 -0.36169953
8816.28 15819.129 1.2660274 -0.35663217
8817.19 15818.942 1.265844 -0.35138623
8818.11 15818.755 1.2668903 -0.35817143
8819.02 15818.567 1.261954 -0.35720856
8819.94 15818.380 1.2588306 -0.3532362
8820.86 15818.193 1.2599612 -0.35691139
8821.77 15818.006 1.2610163 -0.35101849
8822.68 15817.818 1.2570715 -0.35594351
8823.60 15817.631 1.2600718 -0.35108491
8824.51 15817.444 1.2590323 -0.35136648
8825.43 15817.257 1.2575759 -0.35294227
8826.34 15817.070 1.2576935 -0.35257452
8827.26 15816.882 1.2572071 -0.35111344
8828.18 15816.695 1.2619713 -0.34841949
8829.09 15816.508 1.2569649 -0.34865914
8830.01 15816.321 1.2566674 -0.35178246
8830.93 15816.134 1.2581238 -0.34495588
8831.85 15815.946 1.2582318 -0.34365061
8832.76 15815.759 1.2590377 -0.34556228
8833.68 15815.572 1.2562339 -0.35006505
