# Sweep from 15815.772Hz to 15837.760Hz step 0.1832333333333281Hz delay 0.9s
# Excitation 0.001185Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
8834.69 15815.772 1.320665 -0.35143174
8835.60 15815.955 1.3191382 -0.34882822
8836.52 15816.138 1.3222897 -0.35129625
8837.43 15816.322 1.3239431 -0.35464544
8838.35 15816.505 1.3204661 -0.35396724
8839.27 15816.688 1.3257212 -0.35475352
8840.18 15816.871 1.328114 -0.35278751
8841.10 15817.055 1.3244345 -0.35422133
8842.02 15817.238 1.322668 -0.35147386
8842.93 15817.421 1.3288096 -0.34768519
8843.85 15817.604 1.3250843 -0.35767215
8844.76 15817.788 1.3253773 -0.35366793
8845.68 15817.971 1.3227223 -0.35258233
8846.59 15818.154 1.325821 -0.35885679
8847.51 15818.337 1.3283898 -0.3576653
8848.42 15818.521 1.3321818 -0.36142436
8849.34 15818.704 1.3284248 -0.35778388
8850.25 15818.887 1.3250717 -0.36312687
8851.17 15819.070 1.32525 -0.36217216
8852.08 15819.253 1.3271746 -0.36740704
8853.00 15819.437 1.3261498 -0.36983621
8853.91 15819.620 1.333132 -0.36234374
8854.83 15819.803 1.3284414 -0.36651215
8855.74 15819.986 1.3293781 -0.36227439
8856.66 15820.170 1.3317034 -0.36893007
8857.58 15820.353 1.3354265 -0.3647605
8858.49 15820.536 1.3353698 -0.36942646
8859.41 15820.719 1.3367343 -0.37322263
8860.33 15820.903 1.3339686 -0.37130107
8861.25 15821.086 1.3352166 -0.36801839
8862.17 15821.269 1.3415026 -0.37576055
8863.08 15821.452 1.3370197 -0.37263936
8864.00 15821.635 1.3400684 -0.38117628
8864.92 15821.819 1.3420027 -0.3791726
8865.84 15822.002 1.3465429 -0.37886647
8866.75 15822.185 1.346843 -0.38600587
8867.67 15822.368 1.3462497 -0.37970028
8868.58 15822.552 1.3457828 -0.3849959
8869.50 15822.735 1.3543888 -0.3918108
8870.42 15822.918 1.3556452 -0.38900086
8871.33 15823.101 1.3550252 -0.39292499
8872.25 15823.285 1.3580909 -0.39404321
8873.17 15823.468 1.3619507 -0.39386873
8874.09 15823.651 1.366882 -0.39867911
8875.00 15823.834 1.3709017 -0.40095392
8875.92 15824.017 1.3734814 -0.40212132
8876.83 15824.201 1.3787911 -0.40438584
8877.75 15824.384 1.38746 -0.40854405
8878.67 15824.567 1.3933563 -0.41179544
8879.59 15824.750 1.3974635 -0.41321687
8880.50 15824.934 1.4088482 -0.41385684
8881.42 15825.117 1.4103884 -0.41410973
8882.33 15825.300 1.4359777 -0.41160635
8883.25 15825.483 1.4481211 -0.41332598
8884.16 15825.667 1.4714988 -0.3957463
8885.08 15825.850 1.4825196 -0.38679147
8886.00 15826.033 1.5001938 -0.37571348
8886.92 15826.216 1.5123876 -0.35332999
8887.84 15826.400 1.5239063 -0.32702255
8888.75 15826.583 1.5195867 -0.30188838
8889.67 15826.766 1.5205304 -0.28343533
8890.58 15826.949 1.5168408 -0.28201671
8891.50 15827.132 1.5082383 -0.26988417
8892.42 15827.316 1.496507 -0.25224614
8893.33 15827.499 1.4851646 -0.2441881
8894.25 15827.682 1.4818379 -0.23373261
8895.16 15827.865 1.4603042 -0.22431745
8896.08 15828.049 1.4634021 -0.22493597
8897.00 15828.232 1.4535441 -0.22006779
8897.91 15828.415 1.4379658 -0.21711966
8898.82 15828.598 1.4276467 -0.21271086
8899.74 15828.782 1.4207261 -0.21434393
8900.65 15828.965 1.4157016 -0.22081953
8901.57 15829.148 1.4110207 -0.21777245
8902.48 15829.331 1.4006807 -0.22060252
8903.40 15829.515 1.3896281 -0.2224877
8904.31 15829.698 1.3867976 -0.2226864
8905.23 15829.881 1.3815682 -0.22919373
8906.15 15830.064 1.3691457 -0.23060964
8907.06 15830.247 1.3696142 -0.22803268
8907.98 15830.431 1.3725514 -0.232467
8908.89 15830.614 1.3642405 -0.24050306
8909.81 15830.797 1.3573807 -0.24378872
8910.73 15830.980 1.3613202 -0.23940652
8911.64 15831.164 1.3535109 -0.24103423
8912.56 15831.347 1.35314 -0.24696624
8913.48 15831.530 1.3504241 -0.24861976
8914.40 15831.713 1.3471762 -0.24574763
8915.31 15831.897 1.3478221 -0.25000307
8916.23 15832.080 1.3408658 -0.25503078
8917.14 15832.263 1.3403657 -0.25648271
8918.06 15832.446 1.3452673 -0.25401323
8918.97 15832.629 1.3365466 -0.25386899
8919.89 15832.813 1.333778 -0.2617806
8920.81 15832.996 1.3410594 -0.25690753
8921.72 15833.179 1.3319736 -0.26389574
8922.64 15833.362 1.3334114 -0.25907167
8923.55 15833.546 1.3311709 -0.26958361
8924.47 15833.729 1.3301374 -0.26148419
8925.39 15833.912 1.3279204 -0.26641393
8926.30 15834.095 1.3278235 -0.27115991
8927.22 15834.279 1.3327511 -0.27103965
8928.13 15834.462 1.3274278 -0.26993752
8929.05 15834.645 1.3299315 -0.2681447
8929.96 15834.828 1.3265657 -0.2671739
8930.88 15835.012 1.3319121 -0.27135894
8931.80 15835.195 1.3245957 -0.26964381
8932.71 15835.378 1.3245433 -0.27010356
8933.63 15835.561 1.3296547 -0.27310205
8934.54 15835.744 1.3264918 -0.27609244
8935.46 15835.928 1.3277246 -0.2745679
8936.38 15836.111 1.3235414 -0.27601638
8937.30 15836.294 1.3238396 -0.2777262
8938.21 15836.477 1.3232183 -0.2748956
8939.13 15836.661 1.327562 -0.28314193
8940.04 15836.844 1.3257413 -0.27603105
8940.96 15837.027 1.3234368 -0.2802918
8941.88 15837.210 1.319703 -0.28522285
8942.79 15837.394 1.3186082 -0.2775987
8943.71 15837.577 1.3251122 -0.28166164
8944.63 15837.760 1.3191855 -0.27792856
