# Sweep from 15806.333Hz to 15842.332Hz step 0.299991666666665Hz delay 0.8s
# Excitation 0.003110Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
77532.41 15806.333 3.5034495 -0.42780468
77533.22 15806.633 3.4925981 -0.42309114
77534.04 15806.933 3.5026721 -0.41462965
77534.85 15807.233 3.5002008 -0.42100552
77535.67 15807.533 3.5067285 -0.41880375
77536.48 15807.833 3.5001092 -0.42307929
77537.30 15808.133 3.5061153 -0.42588255
77538.12 15808.433 3.506397 -0.42453556
77538.94 15808.733 3.5055632 -0.42521302
77539.75 15809.033 3.5072653 -0.43394945
77540.57 15809.333 3.5076848 -0.42763276
77541.38 15809.633 3.5085693 -0.4258502
77542.19 15809.933 3.507093 -0.42781846
77543.01 15810.233 3.50198 -0.43209539
77543.83 15810.533 3.5029611 -0.43150834
77544.64 15810.833 3.5044134 -0.43123154
77545.46 15811.133 3.5042278 -0.43813588
77546.28 15811.433 3.5078465 -0.43639233
77547.09 15811.733 3.508902 -0.43148478
77547.91 15812.033 3.5121063 -0.43838679
77548.72 15812.333 3.5118908 -0.43687973
77549.54 15812.633 3.5139135 -0.44144895
77550.35 15812.933 3.5152748 -0.43895253
77551.17 15813.233 3.5149112 -0.44831447
77551.99 15813.533 3.5162279 -0.44525163
77552.80 15813.833 3.5171206 -0.45095351
77553.62 15814.133 3.5117691 -0.45199701
77554.43 15814.433 3.5225692 -0.45145609
77555.25 15814.733 3.5223002 -0.4525227
77556.06 15815.033 3.5186511 -0.45020053
77556.88 15815.333 3.5214161 -0.45619913
77557.69 15815.633 3.5233977 -0.45749962
77558.51 15815.933 3.5228697 -0.45622903
77559.33 15816.233 3.5302794 -0.46580683
77560.15 15816.533 3.52611 -0.4655549
77560.97 15816.833 3.5330615 -0.46256332
77561.78 15817.133 3.5359553 -0.4720103
77562.60 15817.433 3.5411115 -0.47097279
77563.41 15817.733 3.5442736 -0.4727608
77564.23 15818.033 3.5493567 -0.47404285
77565.04 15818.333 3.5508322 -0.48041954
77565.85 15818.633 3.5515613 -0.48739565
77566.67 15818.933 3.5543694 -0.48108808
77567.49 15819.233 3.5654157 -0.49213628
77568.31 15819.533 3.5704209 -0.49830061
77569.13 15819.833 3.577831 -0.50167722
77569.95 15820.133 3.5800244 -0.49846619
77570.76 15820.433 3.587636 -0.50505884
77571.58 15820.733 3.6028862 -0.51319819
77572.40 15821.033 3.6102092 -0.51868278
77573.21 15821.333 3.6245449 -0.52153604
77574.03 15821.633 3.6414738 -0.52461951
77574.84 15821.933 3.6707627 -0.52416647
77575.66 15822.233 3.7064592 -0.52110937
77576.48 15822.533 3.7424034 -0.50233893
77577.29 15822.833 3.7840932 -0.46540237
77578.11 15823.133 3.8251496 -0.4258784
77578.92 15823.433 3.8329481 -0.37413898
77579.74 15823.733 3.8303897 -0.34854244
77580.56 15824.033 3.8193889 -0.3140099
77581.37 15824.333 3.8127882 -0.29705021
77582.19 15824.632 3.7983982 -0.27721902
77583.01 15824.932 3.7933162 -0.26421
77583.82 15825.232 3.7764728 -0.24948463
77584.64 15825.532 3.7640175 -0.23851541
77585.45 15825.832 3.7502207 -0.22879719
77586.27 15826.132 3.731305 -0.22453409
77587.09 15826.432 3.7191685 -0.22074605
77587.91 15826.732 3.7029579 -0.21237486
77588.73 15827.032 3.6896827 -0.21335414
77589.54 15827.332 3.6811996 -0.21141746
77590.36 15827.632 3.6640367 -0.20945181
77591.17 15827.932 3.6567217 -0.21221238
77591.99 15828.232 3.6431661 -0.20622501
77592.80 15828.532 3.632342 -0.21340969
77593.62 15828.832 3.6242227 -0.21520866
77594.43 15829.132 3.6127888 -0.21727458
77595.25 15829.432 3.6113124 -0.216448
77596.06 15829.732 3.6009974 -0.22044442
77596.88 15830.032 3.592598 -0.22891257
77597.69 15830.332 3.5870596 -0.22479365
77598.51 15830.632 3.5826574 -0.22499349
77599.32 15830.932 3.5800906 -0.2336333
77600.14 15831.232 3.573643 -0.2361725
77600.96 15831.532 3.5657374 -0.23971631
77601.78 15831.832 3.559473 -0.24193025
77602.59 15832.132 3.5575204 -0.24559458
77603.41 15832.432 3.5508442 -0.24783787
77604.22 15832.732 3.5481698 -0.25129151
77605.04 15833.032 3.5434527 -0.25758902
77605.85 15833.332 3.5428125 -0.2587918
77606.67 15833.632 3.5387311 -0.25716284
77607.48 15833.932 3.5351268 -0.26275413
77608.30 15834.232 3.5341775 -0.27077184
77609.12 15834.532 3.530414 -0.26849233
77609.93 15834.832 3.5313512 -0.27224115
77610.75 15835.132 3.5271494 -0.27388799
77611.56 15835.432 3.5250216 -0.27185277
77612.38 15835.732 3.5268522 -0.28172929
77613.20 15836.032 3.5210996 -0.27730866
77614.02 15836.332 3.5220812 -0.28091654
77614.83 15836.632 3.5192581 -0.28198124
77615.65 15836.932 3.5145806 -0.28261255
77616.46 15837.232 3.5200449 -0.2861768
77617.28 15837.532 3.5125129 -0.28591691
77618.10 15837.832 3.5163382 -0.2894667
77618.91 15838.132 3.5123821 -0.29108554
77619.73 15838.432 3.5099438 -0.29179452
77620.54 15838.732 3.5095125 -0.28835061
77621.36 15839.032 3.5135649 -0.29972824
77622.18 15839.332 3.5124208 -0.29561232
77623.00 15839.632 3.5137482 -0.29801205
77623.81 15839.932 3.5110522 -0.29811653
77624.63 15840.232 3.5137421 -0.30505387
77625.45 15840.532 3.5015087 -0.29897811
77626.27 15840.832 3.5023897 -0.3008598
77627.08 15841.132 3.5086034 -0.29865407
77627.90 15841.432 3.5084468 -0.30669131
