# Sweep from 15843.685Hz to 15794.816Hz step -0.40724166666665645Hz delay 0.9s
# Excitation 0.005721Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
15824.70 15843.685 6.4405822 -0.31640863
15825.62 15843.278 6.4343863 -0.31791785
15826.53 15842.871 6.4362507 -0.311262
15827.45 15842.463 6.4392202 -0.31230303
15828.37 15842.056 6.4353867 -0.30333393
15829.28 15841.649 6.4387291 -0.30057839
15830.20 15841.242 6.4344367 -0.29620472
15831.11 15840.834 6.43362 -0.29900278
15832.03 15840.427 6.4398823 -0.29228528
15832.95 15840.020 6.443302 -0.291557
15833.86 15839.613 6.4433511 -0.28586646
15834.78 15839.205 6.4400297 -0.28208828
15835.69 15838.798 6.4479514 -0.27916241
15836.61 15838.391 6.4494825 -0.27321607
15837.53 15837.984 6.4506544 -0.26512819
15838.45 15837.576 6.445719 -0.2623604
15839.36 15837.169 6.4554847 -0.25545103
15840.27 15836.762 6.4571364 -0.25181814
15841.19 15836.355 6.4554438 -0.24817999
15842.10 15835.947 6.4569172 -0.23376769
15843.02 15835.540 6.4632691 -0.22185358
15843.94 15835.133 6.4621404 -0.21884736
15844.85 15834.726 6.472892 -0.21889265
15845.77 15834.318 6.4681485 -0.20978511
15846.68 15833.911 6.4782312 -0.19724841
15847.60 15833.504 6.4765513 -0.18685164
15848.52 15833.097 6.4852338 -0.18184089
15849.43 15832.689 6.4863034 -0.16855168
15850.34 15832.282 6.497733 -0.15801535
15851.26 15831.875 6.5048775 -0.15120743
15852.17 15831.468 6.5045674 -0.14235599
15853.09 15831.061 6.5107151 -0.13254551
15854.00 15830.653 6.5206332 -0.1179742
15854.92 15830.246 6.5262884 -0.098349759
15855.83 15829.839 6.535839 -0.087301615
15856.75 15829.432 6.5401882 -0.076035384
15857.66 15829.024 6.5493432 -0.067767942
15858.58 15828.617 6.5559707 -0.05538347
15859.50 15828.210 6.560113 -0.046906294
15860.41 15827.803 6.5705303 -0.03144741
15861.33 15827.395 6.5735353 -0.022123032
15862.24 15826.988 6.5892286 -0.016942712
15863.16 15826.581 6.5970703 -0.0015968922
15864.08 15826.174 6.6149428 -0.0018269056
15865.00 15825.766 6.6141215 0.010761432
15865.91 15825.359 6.6331586 0.02299412
15866.83 15824.952 6.6416806 0.025386246
15867.74 15824.545 6.6545963 0.024485541
15868.66 15824.137 6.6738558 0.026219221
15869.58 15823.730 6.6886714 0.02760042
15870.50 15823.323 6.7059409 0.016898941
15871.41 15822.916 6.7200904 0.014966236
15872.33 15822.508 6.7443711 -0.0008270144
