# Sweep from 15802.857Hz to 15847.721Hz step 0.3738666666666631Hz delay 0.8s
# Excitation 0.001189Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
43608.41 15802.857 1.3244322 -0.33363079
43609.22 15803.231 1.3209585 -0.33163226
43610.04 15803.605 1.3238117 -0.33405593
43610.85 15803.979 1.3226634 -0.33322343
43611.67 15804.352 1.3252511 -0.33204947
43612.49 15804.726 1.326326 -0.33211816
43613.30 15805.100 1.3229777 -0.33173745
43614.12 15805.474 1.3240323 -0.34241347
43614.94 15805.848 1.3279156 -0.34019234
43615.75 15806.222 1.3169134 -0.33783328
43616.57 15806.596 1.3271411 -0.33656852
43617.39 15806.970 1.321489 -0.3372796
43618.21 15807.343 1.3243953 -0.334943
43619.02 15807.717 1.3280975 -0.34092281
43619.84 15808.091 1.3214587 -0.33902862
43620.65 15808.465 1.3164801 -0.33833132
43621.47 15808.839 1.3266903 -0.34496756
43622.29 15809.213 1.3227941 -0.3354867
43623.11 15809.587 1.3263332 -0.34210646
43623.92 15809.960 1.3265237 -0.33910612
43624.74 15810.334 1.3250201 -0.34134493
43625.55 15810.708 1.3201985 -0.34414967
43626.36 15811.082 1.3238408 -0.34485856
43627.18 15811.456 1.3236272 -0.34034446
43628.00 15811.830 1.3342841 -0.34651688
43628.82 15812.204 1.3237443 -0.34495207
43629.63 15812.578 1.3308971 -0.34168363
43630.45 15812.951 1.3298977 -0.34137042
43631.27 15813.325 1.3257803 -0.34889294
43632.08 15813.699 1.3283625 -0.34778915
43632.89 15814.073 1.3339852 -0.34490162
43633.71 15814.447 1.3321494 -0.34764597
43634.53 15814.821 1.328799 -0.34610005
43635.34 15815.195 1.3388932 -0.35108502
43636.16 15815.568 1.3319562 -0.34927288
43636.98 15815.942 1.33567 -0.34891875
43637.79 15816.316 1.3343957 -0.35599012
43638.61 15816.690 1.3406711 -0.35248786
43639.43 15817.064 1.3361546 -0.35515819
43640.24 15817.438 1.3425101 -0.35662538
43641.06 15817.812 1.3474246 -0.35405685
43641.88 15818.186 1.3437181 -0.35569903
43642.69 15818.559 1.3432364 -0.35816498
43643.51 15818.933 1.3472078 -0.35869095
43644.32 15819.307 1.3502959 -0.36270299
43645.14 15819.681 1.3553181 -0.36316109
43645.95 15820.055 1.3549811 -0.36285272
43646.77 15820.429 1.3594184 -0.36509388
43647.59 15820.803 1.3669969 -0.3630314
43648.40 15821.176 1.3665482 -0.36383145
43649.22 15821.550 1.3728505 -0.36087641
43650.04 15821.924 1.3809707 -0.36680873
43650.86 15822.298 1.3776039 -0.36456854
43651.67 15822.672 1.3906895 -0.35963183
43652.49 15823.046 1.3961168 -0.35987827
43653.30 15823.420 1.4020841 -0.35786178
43654.12 15823.794 1.4015185 -0.35406146
43654.93 15824.167 1.4076822 -0.34343134
43655.75 15824.541 1.4142514 -0.33958003
43656.56 15824.915 1.4233904 -0.32664892
43657.38 15825.289 1.4189121 -0.31471328
43658.20 15825.663 1.4191223 -0.3024326
43659.02 15826.037 1.4150679 -0.29779105
43659.83 15826.411 1.4107487 -0.28219586
43660.65 15826.784 1.4067222 -0.28449108
43661.46 15827.158 1.397016 -0.27759876
43662.28 15827.532 1.3913095 -0.26918246
43663.09 15827.906 1.3903508 -0.27281584
43663.91 15828.280 1.3852436 -0.27107072
43664.72 15828.654 1.3773318 -0.26727025
43665.54 15829.028 1.3712518 -0.26270703
43666.36 15829.402 1.3661319 -0.26410873
43667.17 15829.775 1.3544931 -0.26180655
43667.99 15830.149 1.3624528 -0.26314609
43668.80 15830.523 1.3517806 -0.27217538
43669.62 15830.897 1.3490481 -0.27641994
43670.44 15831.271 1.3444271 -0.27442522
43671.26 15831.645 1.3419573 -0.27454129
43672.07 15832.019 1.3382828 -0.27394017
43672.89 15832.392 1.3402471 -0.27588953
43673.70 15832.766 1.3380231 -0.27502477
43674.52 15833.140 1.3394941 -0.27499775
43675.33 15833.514 1.3397524 -0.28217994
43676.15 15833.888 1.3384059 -0.27975699
43676.96 15834.262 1.3339981 -0.27867847
43677.78 15834.636 1.3324855 -0.27923977
43678.59 15835.010 1.3283477 -0.2746431
43679.41 15835.383 1.3338141 -0.2824452
43680.23 15835.757 1.3322827 -0.2910223
43681.04 15836.131 1.3357139 -0.28575462
43681.86 15836.505 1.3321443 -0.28528731
43682.67 15836.879 1.326811 -0.28731077
43683.49 15837.253 1.3307736 -0.28507054
43684.31 15837.627 1.3270953 -0.29088218
43685.12 15838.000 1.3230194 -0.28953761
43685.94 15838.374 1.3330206 -0.28587817
43686.76 15838.748 1.3250184 -0.28845213
43687.57 15839.122 1.324813 -0.29322905
43688.39 15839.496 1.3253591 -0.28638169
43689.20 15839.870 1.3249644 -0.28993728
43690.02 15840.244 1.3307323 -0.29532691
43690.83 15840.618 1.3174584 -0.28893999
43691.65 15840.991 1.3264851 -0.29550318
43692.46 15841.365 1.3249718 -0.29348533
43693.28 15841.739 1.3198464 -0.2960866
43694.09 15842.113 1.3271729 -0.28952013
43694.91 15842.487 1.3216094 -0.29800611
43695.72 15842.861 1.3233218 -0.29298556
43696.54 15843.235 1.3232194 -0.30083615
43697.35 15843.608 1.3226066 -0.29253312
43698.17 15843.982 1.327082 -0.29185259
43698.99 15844.356 1.3247325 -0.29287037
43699.80 15844.730 1.3219804 -0.29399621
43700.62 15845.104 1.3211754 -0.29275699
43701.43 15845.478 1.3236818 -0.29584254
43702.25 15845.852 1.3232151 -0.29491278
43703.07 15846.226 1.3229994 -0.29867178
43703.89 15846.599 1.324181 -0.29170695
43704.70 15846.973 1.3188496 -0.29923592
43705.52 15847.347 1.3160651 -0.30132898
43706.33 15847.721 1.3232274 -0.29813182
