# Sweep from 15846.869Hz to 15803.490Hz step -0.3614916666666735Hz delay 0.8s
# Excitation 0.001071Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
64784.95 15846.869 1.1925013 -0.3010984
64785.76 15846.508 1.192132 -0.29914818
64786.57 15846.146 1.1957291 -0.2999297
64787.39 15845.785 1.1919204 -0.29536116
64788.21 15845.423 1.1920699 -0.29465309
64789.03 15845.062 1.1939109 -0.29673663
64789.84 15844.700 1.1891549 -0.29821493
64790.66 15844.339 1.1939917 -0.29468049
64791.47 15843.977 1.1939624 -0.29514482
64792.29 15843.616 1.1966141 -0.29413201
64793.10 15843.254 1.194808 -0.30141172
64793.92 15842.893 1.196552 -0.29700826
64794.74 15842.531 1.1916422 -0.29426073
64795.56 15842.170 1.1897484 -0.29033117
64796.37 15841.808 1.1956885 -0.29552123
64797.19 15841.447 1.1942979 -0.28925734
64798.00 15841.085 1.1939734 -0.3016674
64798.82 15840.724 1.2004064 -0.28604921
64799.63 15840.362 1.1956316 -0.29484335
64800.46 15840.001 1.1977828 -0.29645796
64801.28 15839.639 1.1974449 -0.28309643
64802.09 15839.278 1.1959916 -0.29185017
64802.91 15838.916 1.1996769 -0.29240994
64803.73 15838.555 1.1983092 -0.28931291
64804.54 15838.193 1.1885545 -0.28921332
64805.36 15837.832 1.1966216 -0.28628924
64806.18 15837.470 1.2029226 -0.2845444
64807.00 15837.109 1.2004493 -0.29213072
64807.81 15836.747 1.2014483 -0.28686591
64808.63 15836.386 1.2018579 -0.28257239
64809.45 15836.024 1.1985283 -0.28153042
64810.26 15835.663 1.2012925 -0.28258791
64811.08 15835.301 1.1989594 -0.2870436
64811.89 15834.940 1.2102805 -0.28352247
64812.71 15834.578 1.2020939 -0.27626479
64813.52 15834.217 1.2049923 -0.27941761
64814.34 15833.855 1.2064451 -0.27592768
64815.16 15833.494 1.204097 -0.28166031
64815.97 15833.132 1.2024576 -0.28264878
64816.79 15832.771 1.2033167 -0.2801261
64817.60 15832.409 1.2075367 -0.27402163
64818.42 15832.048 1.2113524 -0.27839852
64819.24 15831.686 1.2084863 -0.27621289
64820.05 15831.325 1.2174372 -0.26919031
64820.87 15830.963 1.2140321 -0.27536669
64821.68 15830.602 1.2139915 -0.26911468
64822.50 15830.240 1.2233238 -0.27056021
64823.31 15829.879 1.2282776 -0.26659652
64824.13 15829.517 1.2258935 -0.26731195
64824.95 15829.156 1.232769 -0.26809477
64825.77 15828.794 1.2444365 -0.26938918
64826.58 15828.433 1.2411336 -0.26983511
64827.40 15828.071 1.2481675 -0.27058977
64828.21 15827.710 1.2545618 -0.26874812
64829.03 15827.348 1.2650581 -0.27515938
64829.85 15826.987 1.2668378 -0.28449153
64830.67 15826.625 1.2748823 -0.28396829
64831.48 15826.264 1.2759702 -0.29039896
64832.30 15825.902 1.2811367 -0.2930615
64833.11 15825.541 1.2835053 -0.30633083
64833.93 15825.180 1.289807 -0.30976969
64834.75 15824.818 1.2771385 -0.32387163
64835.56 15824.457 1.2776303 -0.33161962
64836.38 15824.095 1.2754534 -0.33579977
64837.19 15823.734 1.2695723 -0.3415708
64838.01 15823.372 1.2657995 -0.34776113
64838.82 15823.011 1.2506094 -0.35095977
64839.64 15822.649 1.2525965 -0.35580513
64840.45 15822.288 1.2468005 -0.35552546
64841.27 15821.926 1.2439773 -0.35527282
64842.08 15821.565 1.2402467 -0.35507423
64842.90 15821.203 1.2324919 -0.35613792
64843.71 15820.842 1.234956 -0.35207685
64844.53 15820.480 1.2307798 -0.3533911
64845.34 15820.119 1.2288805 -0.35868658
64846.16 15819.757 1.2220611 -0.35482336
64846.97 15819.396 1.2229289 -0.3482846
64847.79 15819.034 1.212254 -0.35230434
64848.60 15818.673 1.2178991 -0.3450356
64849.41 15818.311 1.2123774 -0.35349308
64850.23 15817.950 1.213842 -0.34909328
64851.05 15817.588 1.2045956 -0.35197027
64851.86 15817.227 1.2052789 -0.35499008
64852.68 15816.865 1.2085632 -0.34801428
64853.49 15816.504 1.2076307 -0.34570954
64854.30 15816.142 1.2015009 -0.34469335
64855.12 15815.781 1.2081377 -0.34516165
64855.94 15815.419 1.1984855 -0.34289727
64856.75 15815.058 1.2016437 -0.34202822
64857.57 15814.696 1.202877 -0.33894378
64858.39 15814.335 1.2012717 -0.33839211
64859.21 15813.973 1.1992623 -0.34433606
64860.03 15813.612 1.1983251 -0.3403367
64860.84 15813.250 1.1967521 -0.34152373
64861.66 15812.889 1.1949606 -0.33959029
64862.47 15812.527 1.2017412 -0.34138961
64863.29 15812.166 1.2002554 -0.33656403
64864.11 15811.804 1.1943574 -0.33668576
64864.92 15811.443 1.1945203 -0.33500905
64865.74 15811.081 1.1937058 -0.33190551
64866.55 15810.720 1.1996032 -0.33927287
64867.37 15810.358 1.1928383 -0.33948638
64868.19 15809.997 1.1988158 -0.33382724
64869.01 15809.635 1.1948175 -0.33332702
64869.82 15809.274 1.2020434 -0.33315791
64870.64 15808.912 1.1936671 -0.34075401
64871.45 15808.551 1.1963979 -0.33658196
64872.27 15808.189 1.1950261 -0.33985532
64873.08 15807.828 1.1963947 -0.33035346
64873.89 15807.466 1.197977 -0.33647538
64874.71 15807.105 1.1977327 -0.3283244
64875.53 15806.743 1.1967325 -0.33362934
64876.34 15806.382 1.1943163 -0.32944715
64877.16 15806.020 1.1989694 -0.33331719
64877.98 15805.659 1.1931525 -0.33154524
64878.79 15805.297 1.1942649 -0.33188056
64879.61 15804.936 1.1951643 -0.32877685
64880.43 15804.574 1.192346 -0.32972332
64881.24 15804.213 1.1967517 -0.33153881
64882.06 15803.851 1.199592 -0.32862022
64882.87 15803.490 1.1959065 -0.33354479
