# Sweep from 15806.081Hz to 15840.727Hz step 0.288716666666672Hz delay 0.8s
# Excitation 0.003811Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
79904.68 15806.081 4.300387 -0.45402072
79905.50 15806.370 4.2995089 -0.45399787
79906.31 15806.658 4.2991473 -0.45033013
79907.13 15806.947 4.3025007 -0.45169608
79907.95 15807.236 4.3016084 -0.45850751
79908.76 15807.525 4.3047917 -0.45636469
79909.58 15807.813 4.2976558 -0.45307794
79910.40 15808.102 4.303653 -0.45258872
79911.21 15808.391 4.2998422 -0.45764469
79912.03 15808.679 4.3061582 -0.45416837
79912.85 15808.968 4.3039236 -0.45517086
79913.67 15809.257 4.3028631 -0.45409948
79914.48 15809.546 4.3006435 -0.45969398
79915.29 15809.834 4.3026344 -0.45809512
79916.11 15810.123 4.3044593 -0.46484166
79916.92 15810.412 4.3071614 -0.46280178
79917.74 15810.700 4.3061095 -0.45908305
79918.56 15810.989 4.3113091 -0.46289077
79919.38 15811.278 4.3100995 -0.46461838
79920.19 15811.567 4.30819 -0.46729454
79921.00 15811.855 4.3160799 -0.4686228
79921.82 15812.144 4.3146574 -0.46868956
79922.64 15812.433 4.3077725 -0.47655007
79923.46 15812.721 4.3109771 -0.4723195
79924.27 15813.010 4.3139385 -0.4770497
79925.09 15813.299 4.3158725 -0.47585894
79925.90 15813.588 4.3115683 -0.47778929
79926.72 15813.876 4.3167261 -0.48452176
79927.53 15814.165 4.3197733 -0.48224899
79928.35 15814.454 4.3210025 -0.48588663
79929.17 15814.743 4.3218579 -0.48537822
79929.99 15815.031 4.3254727 -0.49280942
79930.80 15815.320 4.3219411 -0.49295454
79931.62 15815.609 4.3286368 -0.49292106
79932.43 15815.897 4.3288437 -0.49784114
79933.25 15816.186 4.3297973 -0.50316174
79934.06 15816.475 4.3311184 -0.50813554
79934.88 15816.764 4.3366308 -0.50676653
79935.70 15817.052 4.3399305 -0.51625489
79936.51 15817.341 4.3388504 -0.51367851
79937.33 15817.630 4.3402629 -0.51575006
79938.14 15817.918 4.3465548 -0.52219201
79938.96 15818.207 4.3486593 -0.52529867
79939.78 15818.496 4.3607101 -0.53209294
79940.60 15818.785 4.3649702 -0.53651797
79941.41 15819.073 4.36651 -0.542522
79942.23 15819.362 4.3739137 -0.54700888
79943.05 15819.651 4.3847799 -0.55003846
79943.86 15819.939 4.3939708 -0.55271767
79944.67 15820.228 4.4052263 -0.56443633
79945.49 15820.517 4.4269905 -0.57156814
79946.31 15820.806 4.449581 -0.57866998
79947.12 15821.094 4.485456 -0.5868917
79947.94 15821.383 4.5314318 -0.58804403
79948.76 15821.672 4.6739056 -0.49896676
79949.57 15821.960 4.7337739 -0.33601458
79950.39 15822.249 4.7219473 -0.31355592
79951.21 15822.538 4.7190615 -0.28822768
79952.02 15822.827 4.6987793 -0.27557923
79952.84 15823.115 4.6905589 -0.25853541
79953.66 15823.404 4.6726605 -0.24027037
79954.48 15823.693 4.6647419 -0.22747452
79955.30 15823.981 4.6472214 -0.21862759
79956.11 15824.270 4.6364439 -0.20835795
79956.92 15824.559 4.6196328 -0.20678513
79957.74 15824.848 4.612074 -0.19549353
79958.56 15825.136 4.594915 -0.18872262
79959.38 15825.425 4.5833085 -0.18678345
79960.19 15825.714 4.5647193 -0.18517693
79961.01 15826.002 4.5510433 -0.18227794
79961.83 15826.291 4.5358411 -0.1825213
79962.64 15826.580 4.5234324 -0.18019354
79963.46 15826.869 4.5124498 -0.17989738
79964.28 15827.157 4.4937651 -0.18243215
79965.09 15827.446 4.4905119 -0.18129656
79965.90 15827.735 4.4774524 -0.18490786
79966.72 15828.023 4.4590192 -0.18722341
79967.53 15828.312 4.4572598 -0.19278787
79968.35 15828.601 4.4405137 -0.19453522
79969.17 15828.890 4.4348617 -0.18995068
79969.98 15829.178 4.4274589 -0.20189262
79970.80 15829.467 4.4149679 -0.20355148
79971.62 15829.756 4.4127455 -0.20941958
79972.43 15830.044 4.4086651 -0.20851944
79973.25 15830.333 4.4000431 -0.208483
79974.07 15830.622 4.3971545 -0.21464186
79974.88 15830.911 4.3818795 -0.21918598
79975.70 15831.199 4.3772729 -0.22465292
79976.52 15831.488 4.3782279 -0.22822013
79977.33 15831.777 4.3698178 -0.22810467
79978.14 15832.066 4.3650689 -0.23540839
79978.96 15832.354 4.3571331 -0.24295247
79979.77 15832.643 4.3578334 -0.23850774
79980.59 15832.932 4.3521163 -0.24539935
79981.40 15833.220 4.3494938 -0.25283336
79982.22 15833.509 4.3432606 -0.25248818
79983.04 15833.798 4.3434879 -0.25177047
79983.85 15834.087 4.3392183 -0.2581335
79984.67 15834.375 4.3357973 -0.26447827
79985.48 15834.664 4.3402774 -0.26354911
79986.30 15834.953 4.3286909 -0.26750865
79987.12 15835.241 4.3290033 -0.2741773
79987.94 15835.530 4.3300561 -0.27032283
79988.75 15835.819 4.3258783 -0.27460362
79989.57 15836.108 4.3236537 -0.27880944
79990.39 15836.396 4.3246278 -0.27955625
79991.21 15836.685 4.3198961 -0.2804027
79992.03 15836.974 4.3203759 -0.28438251
79992.84 15837.262 4.3164109 -0.28261496
79993.66 15837.551 4.3148871 -0.28758066
79994.47 15837.840 4.3139739 -0.29313424
79995.29 15838.129 4.3150649 -0.28630086
79996.10 15838.417 4.3118134 -0.29415756
79996.92 15838.706 4.3112764 -0.28750614
79997.73 15838.995 4.3151222 -0.29602577
79998.55 15839.283 4.3108371 -0.29406232
79999.36 15839.572 4.3075629 -0.30176804
80000.18 15839.861 4.3093141 -0.30271715
80001.00 15840.150 4.3085938 -0.29832819
80001.82 15840.438 4.3062996 -0.29534067
80002.64 15840.727 4.3036116 -0.30352831
