# Sweep from 15778.114Hz to 15861.348Hz step 1.1890571428571484Hz delay 0.8s
# Excitation 0.0005Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
40177.88 15778.114 1.3377805 -0.32500682
40178.70 15779.303 1.3346055 -0.32657613
40179.52 15780.492 1.3349454 -0.31802904
40180.33 15781.681 1.3369104 -0.32312761
40181.15 15782.870 1.3355508 -0.32398307
40181.96 15784.059 1.3358 -0.328862
40182.77 15785.248 1.3343412 -0.32407493
40183.59 15786.437 1.3356547 -0.32454156
40184.41 15787.626 1.3343183 -0.32732146
40185.23 15788.816 1.3339608 -0.32762833
40186.04 15790.005 1.3382743 -0.3326779
40186.86 15791.194 1.337922 -0.32716144
40187.67 15792.383 1.3381738 -0.32957007
40188.49 15793.572 1.3312218 -0.33426497
40189.30 15794.761 1.3398019 -0.32974657
40190.12 15795.950 1.3383426 -0.33236512
40190.93 15797.139 1.3390926 -0.332003
40191.75 15798.328 1.3343256 -0.33108012
40192.57 15799.517 1.3436544 -0.33644434
40193.39 15800.706 1.3377734 -0.32770541
40194.20 15801.895 1.3433429 -0.33283811
40195.02 15803.084 1.3362588 -0.33408097
40195.83 15804.273 1.332229 -0.33598172
40196.65 15805.462 1.3405175 -0.3360386
40197.47 15806.651 1.3420045 -0.33417905
40198.28 15807.840 1.3394132 -0.33497957
40199.09 15809.029 1.3430347 -0.33752204
40199.91 15810.219 1.3467713 -0.3380168
40200.73 15811.408 1.3440315 -0.33992134
40201.54 15812.597 1.3437312 -0.34778509
40202.35 15813.786 1.3531252 -0.34380759
40203.17 15814.975 1.3432208 -0.35340031
40203.99 15816.164 1.3489862 -0.35848902
40204.80 15817.353 1.3541393 -0.35724025
40205.62 15818.542 1.3613941 -0.35844357
40206.43 15819.731 1.3695942 -0.36010672
40207.25 15820.920 1.3785219 -0.36462927
40208.06 15822.109 1.4000391 -0.36780946
40208.88 15823.298 1.4125584 -0.36241951
40209.70 15824.487 1.4326724 -0.34045203
40210.51 15825.676 1.4408409 -0.30916345
40211.33 15826.865 1.4227463 -0.28147409
40212.14 15828.054 1.4035387 -0.2704659
40212.96 15829.243 1.3864239 -0.26537248
40213.77 15830.433 1.3717993 -0.26978813
40214.59 15831.622 1.3563096 -0.27428638
40215.41 15832.811 1.3588257 -0.27073833
40216.23 15834.000 1.3488262 -0.28083684
40217.04 15835.189 1.349097 -0.28577369
40217.86 15836.378 1.3466529 -0.28797533
40218.68 15837.567 1.3448299 -0.28392432
40219.49 15838.756 1.3432311 -0.29321473
40220.31 15839.945 1.3381577 -0.29094656
40221.12 15841.134 1.3379581 -0.29606491
40221.94 15842.323 1.3398475 -0.28920752
40222.76 15843.512 1.3389848 -0.2924329
40223.58 15844.701 1.3333331 -0.29630908
40224.39 15845.890 1.3399568 -0.30133847
40225.21 15847.079 1.3333504 -0.29543665
40226.03 15848.268 1.3391995 -0.29853013
40226.84 15849.457 1.3330398 -0.30313771
40227.66 15850.646 1.3363483 -0.30106455
40228.48 15851.836 1.3346033 -0.3014577
40229.29 15853.025 1.3341565 -0.29980706
40230.11 15854.214 1.3374109 -0.29961072
40230.92 15855.403 1.333922 -0.30143511
40231.74 15856.592 1.3306906 -0.30369932
40232.55 15857.781 1.3423161 -0.30247591
40233.37 15858.970 1.335497 -0.30441254
40234.19 15860.159 1.3323913 -0.30834138
40235.00 15861.348 1.3374422 -0.3045229
