# Sweep from 32354.517Hz to 32354.295Hz step -0.00555000000003929Hz delay 20s
# Excitation 0.040000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
24894.35 32354.517 0.713957 1.58071
24914.38 32354.511 0.76307 1.66529
24934.42 32354.506 0.822187 1.75715
24954.45 32354.500 0.936787 1.85992
24974.48 32354.495 1.01591 1.96907
24994.51 32354.489 1.14051 2.1064
25014.54 32354.484 1.27239 2.22828
25034.57 32354.478 1.4361 2.37652
25054.60 32354.473 1.62436 2.51386
25074.63 32354.467 1.82991 2.67302
25094.67 32354.461 2.06457 2.84582
25114.70 32354.456 2.33833 3.03045
25134.73 32354.450 2.72395 3.16778
25154.76 32354.445 3.17233 3.26601
25174.79 32354.439 3.66983 3.33422
25194.82 32354.434 4.231 3.33513
25214.85 32354.428 4.82126 3.20598
25234.88 32354.423 5.37878 2.94496
25254.92 32354.417 5.95722 2.4511
25274.95 32354.412 6.44744 1.81354
25294.98 32354.406 6.81396 0.861295
25315.01 32354.400 6.96312 -0.157343
25335.04 32354.395 6.86762 -1.42882
25355.07 32354.389 6.3383 -2.92222
25375.11 32354.384 4.97678 -4.45928
25395.14 32354.378 2.63118 -4.80398
25415.17 32354.373 1.60799 -4.07729
25435.20 32354.367 1.18963 -3.7053
25455.23 32354.362 0.902222 -3.43972
25475.26 32354.356 0.703043 -3.17688
25495.29 32354.351 0.549338 -2.94405
25515.32 32354.345 0.442016 -2.71849
25535.36 32354.339 0.366528 -2.53205
25555.39 32354.334 0.289221 -2.38835
25575.42 32354.328 0.244656 -2.27739
25595.45 32354.323 0.224646 -2.14824
25615.48 32354.317 0.176443 -2.05638
25635.52 32354.312 0.140973 -1.95907
25655.55 32354.306 0.124602 -1.85538
25675.58 32354.301 0.110959 -1.79808
25695.61 32354.295 0.0973164 -1.71713
