# Sweep from 32354.542Hz to 32354.227Hz step -0.007875000000058207Hz delay 14s
# Excitation 0.010000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
41639.42 32354.542 0.170076 0.174624
41653.45 32354.534 0.180081 0.178262
41667.48 32354.526 0.191904 0.202818
41681.52 32354.518 0.204637 0.220099
41695.55 32354.511 0.193723 0.224646
41709.59 32354.503 0.221918 0.244656
41723.62 32354.495 0.248294 0.281945
41737.65 32354.487 0.261936 0.29195
41751.69 32354.479 0.268303 0.303773
41765.72 32354.471 0.311049 0.323782
41779.75 32354.463 0.329239 0.355614
41793.78 32354.455 0.378352 0.390175
41807.81 32354.448 0.420188 0.423826
41821.85 32354.440 0.494769 0.444745
41835.88 32354.432 0.583899 0.466574
41849.91 32354.424 0.704862 0.462025
41863.94 32354.416 0.830372 0.458387
41877.97 32354.408 0.978623 0.393813
41892.01 32354.400 1.10322 0.27376
41906.04 32354.392 1.23419 0.0982259
41920.07 32354.385 1.26511 -0.120964
41934.10 32354.377 1.23965 -0.354705
41948.14 32354.369 1.10231 -0.521144
41962.17 32354.361 0.941334 -0.658478
41976.20 32354.353 0.803087 -0.69031
41990.23 32354.345 0.657568 -0.701224
42004.26 32354.337 0.577533 -0.674849
42018.30 32354.329 0.496588 -0.651202
42032.33 32354.321 0.428374 -0.643016
42046.36 32354.314 0.366528 -0.613912
42060.40 32354.306 0.319234 -0.570257
42074.43 32354.298 0.289221 -0.537515
42088.46 32354.290 0.259208 -0.524782
42102.49 32354.282 0.229194 -0.487493
42116.53 32354.274 0.220099 -0.47385
42130.56 32354.266 0.203728 -0.437469
42144.60 32354.258 0.186447 -0.429283
42158.63 32354.251 0.194633 -0.421098
42172.66 32354.243 0.165529 -0.39836
42186.70 32354.235 0.147339 -0.397451
42200.73 32354.227 0.161891 -0.375623
