20220818T084405 32354.518 32354.298 -0.005500000000029104 20 0.040000 40dB 95 100ms 1660801886.34 31886.34 32354.402 0.056975 7.23645 -1
20220818T085746 32354.288 32354.516 0.0056999999999789 20 0.040000 40dB 95 100ms 1660802687.53 32687.53 32354.402 0.055218 7.23548 -1
20220818T091127 32354.513 32354.292 -0.005524999999943247 20 0.040000 40dB 95 100ms 1660803515.18 33515.18 32354.401 0.056456 7.24092 -1
20220818T092509 32354.288 32354.514 0.005649999999968713 20 0.040000 40dB 95 100ms 1660804330.50 34330.50 32354.401 0.055226 7.23179 -1
20220818T093850 32354.512 32354.291 -0.005524999999943247 20 0.040000 40dB 95 100ms 1660805178.35 35178.35 32354.394 0.060334 6.74748 -1
20220818T095232 32354.273 32354.515 0.006049999999959255 18 0.040000 40dB 95 100ms 1660805919.04 35919.04 32354.390 0.059887 6.14224 -1
20220818T100451 32354.510 32354.270 -0.005999999999949069 18 0.040000 40dB 95 100ms 1660806678.40 36678.40 32354.387 0.067088 5.76342 -1
20220818T101710 32354.253 32354.521 0.006700000000000728 16 0.040000 40dB 95 100ms 1660807367.27 37367.27 32354.387 0.067061 5.66487 -1
20220818T102808 32354.521 32354.253 -0.006700000000000728 16 0.040000 40dB 95 100ms 1660808027.71 38027.71 32354.386 0.070443 5.44045 -1
20220818T103905 32354.245 32354.527 0.007049999999981083 16 0.040000 40dB 95 100ms 1660808682.27 38682.27 32354.386 0.072859 5.2653 -1
20220818T105002 32354.532 32354.240 -0.007299999999941065 15 0.040000 40dB 95 100ms 1660809319.19 39319.19 32354.386 0.07353 5.26164 -1
20220818T110019 32354.239 32354.533 0.007349999999951251 15 0.040000 40dB 95 100ms 1660809929.78 39929.78 32354.383 0.072249 5.24808 -1
20220818T111353 32354.528 32354.239 -0.007224999999925786 15 0.010000 40dB 127 100ms 1660810753.07 40753.07 32354.382 0.078494 1.17333 -1
20220818T112409 32354.225 32354.539 0.007850000000053115 14 0.010000 40dB 127 100ms 1660811349.36 41349.36 32354.385 0.078631 1.16734 -1
