# Sweep from 15848.924Hz to 15801.185Hz step -0.39782500000001164Hz delay 0.8s
# Excitation 0.000713Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
60041.72 15848.924 0.7916928 -0.29287889
60042.54 15848.526 0.79642115 -0.29711816
60043.35 15848.128 0.78925228 -0.29343747
60044.17 15847.731 0.79410131 -0.29651679
60044.99 15847.333 0.7892657 -0.28842544
60045.80 15846.935 0.79102756 -0.29415753
60046.62 15846.537 0.79733235 -0.29500262
60047.44 15846.139 0.7918992 -0.29621097
60048.25 15845.741 0.79065569 -0.30003932
60049.07 15845.344 0.79510585 -0.29481293
60049.89 15844.946 0.79377378 -0.29327421
60050.70 15844.548 0.79188084 -0.28709263
60051.52 15844.150 0.79363423 -0.2878364
60052.34 15843.752 0.79119314 -0.29170701
60053.15 15843.354 0.78687032 -0.29350346
60053.97 15842.957 0.7952458 -0.28928875
60054.79 15842.559 0.79321057 -0.29333395
60055.60 15842.161 0.79281904 -0.28747718
60056.42 15841.763 0.79126551 -0.28957027
60057.23 15841.365 0.79545089 -0.29144041
60058.05 15840.968 0.79694695 -0.28874737
60058.86 15840.570 0.79149453 -0.29417481
60059.68 15840.172 0.79248656 -0.29224304
60060.50 15839.774 0.80292062 -0.29243643
60061.31 15839.376 0.79299946 -0.28705381
60062.13 15838.978 0.80199965 -0.28743872
60062.95 15838.581 0.79895517 -0.28369999
60063.76 15838.183 0.79266511 -0.28907306
60064.58 15837.785 0.79328106 -0.28728266
60065.40 15837.387 0.79768876 -0.28278058
60066.22 15836.989 0.80178575 -0.28687398
60067.03 15836.591 0.79895239 -0.28494262
60067.85 15836.194 0.80019112 -0.28613766
60068.66 15835.796 0.80249828 -0.28641841
60069.48 15835.398 0.80150016 -0.27955511
60070.29 15835.000 0.79511125 -0.28486994
60071.11 15834.602 0.7958235 -0.28280121
60071.92 15834.204 0.79640967 -0.28851375
60072.74 15833.807 0.80987894 -0.28085745
60073.55 15833.409 0.80288351 -0.28644314
60074.37 15833.011 0.8008779 -0.28364315
60075.19 15832.613 0.80531044 -0.28181117
60076.00 15832.215 0.80769877 -0.27773055
60076.82 15831.818 0.80607344 -0.28092848
60077.63 15831.420 0.80523267 -0.27663876
60078.45 15831.022 0.80846723 -0.27351518
60079.27 15830.624 0.8048213 -0.27381827
60080.09 15830.226 0.81370155 -0.27627027
60080.90 15829.828 0.8133045 -0.27293638
60081.71 15829.431 0.82090446 -0.27622266
60082.53 15829.033 0.82267559 -0.27313592
60083.35 15828.635 0.82055487 -0.27071471
60084.16 15828.237 0.82870804 -0.27726821
60084.98 15827.839 0.83296686 -0.27339033
60085.80 15827.441 0.83142601 -0.27384874
60086.61 15827.044 0.83501607 -0.27851507
60087.42 15826.646 0.84477233 -0.28453709
60088.24 15826.248 0.8391774 -0.28515271
60089.06 15825.850 0.84700713 -0.28990445
60089.87 15825.452 0.84751599 -0.29492512
60090.69 15825.055 0.85275803 -0.30108751
60091.50 15824.657 0.85100947 -0.31044382
60092.32 15824.259 0.85022413 -0.31662134
60093.13 15823.861 0.84687218 -0.32545032
60093.95 15823.463 0.83989869 -0.32075457
60094.76 15823.065 0.83776666 -0.32661202
60095.58 15822.668 0.83028317 -0.32964275
60096.39 15822.270 0.82933229 -0.33529921
60097.21 15821.872 0.82523604 -0.33059445
60098.02 15821.474 0.82231162 -0.32889835
60098.84 15821.076 0.81748328 -0.34001582
60099.65 15820.678 0.82312795 -0.3305106
60100.46 15820.281 0.81242433 -0.33269436
60101.28 15819.883 0.81121004 -0.3300907
60102.10 15819.485 0.80786049 -0.33631304
