# Sweep from 15850.116Hz to 15800.269Hz step -0.7120999999999965Hz delay 0.8s
# Excitation 0.000620Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
42429.92 15850.116 0.69073207 -0.29172369
42430.73 15849.404 0.69212439 -0.29302396
42431.54 15848.692 0.69675644 -0.29019466
42432.36 15847.980 0.68491443 -0.29409989
42433.17 15847.268 0.68584143 -0.28873563
42433.99 15846.556 0.68795612 -0.29452784
42434.81 15845.843 0.69305412 -0.29104478
42435.63 15845.131 0.68631147 -0.28888721
42436.44 15844.419 0.68822533 -0.29132931
42437.25 15843.707 0.6923475 -0.28681578
42438.07 15842.995 0.6882936 -0.2873916
42438.89 15842.283 0.68825352 -0.28723616
42439.71 15841.571 0.68622421 -0.29243822
42440.52 15840.859 0.68838074 -0.28799079
42441.34 15840.147 0.69228668 -0.28618823
42442.16 15839.434 0.69167061 -0.28590478
42442.97 15838.722 0.69068147 -0.29148808
42443.79 15838.010 0.69581006 -0.28160699
42444.61 15837.298 0.68791996 -0.29001828
42445.42 15836.586 0.69316542 -0.29106974
42446.24 15835.874 0.69296777 -0.28670877
42447.06 15835.162 0.69115333 -0.28280607
42447.87 15834.450 0.69319088 -0.28294733
42448.69 15833.738 0.69347652 -0.27843546
42449.51 15833.026 0.70123053 -0.28542405
42450.33 15832.314 0.69804213 -0.27888458
42451.14 15831.601 0.69668607 -0.28342848
42451.96 15830.889 0.70304696 -0.28079907
42452.77 15830.177 0.70465353 -0.27013604
42453.59 15829.465 0.70686809 -0.28065327
42454.41 15828.753 0.71065358 -0.27608695
42455.22 15828.041 0.71847808 -0.2782038
42456.04 15827.329 0.7261213 -0.27974735
42456.85 15826.617 0.73461331 -0.2869586
42457.67 15825.905 0.73298213 -0.29043315
42458.48 15825.193 0.73716842 -0.30196699
42459.30 15824.480 0.73991464 -0.30920444
42460.12 15823.768 0.73299725 -0.314624
42460.93 15823.056 0.72968118 -0.32117327
42461.75 15822.344 0.71564727 -0.32554365
42462.56 15821.632 0.7141054 -0.32746081
42463.38 15820.920 0.71566723 -0.32753729
42464.20 15820.208 0.70708825 -0.32184653
42465.01 15819.496 0.71002353 -0.32479232
42465.83 15818.784 0.70067551 -0.32431984
42466.65 15818.072 0.70677066 -0.3228146
42467.46 15817.359 0.70269954 -0.32545626
42468.28 15816.647 0.69526214 -0.32132417
42469.10 15815.935 0.69355724 -0.31913578
42469.91 15815.223 0.69200576 -0.32182251
42470.73 15814.511 0.69240144 -0.31976643
42471.55 15813.799 0.69196273 -0.31288806
42472.37 15813.087 0.68961373 -0.31858784
42473.18 15812.375 0.68898345 -0.31289329
42474.00 15811.663 0.68317024 -0.31487488
42474.81 15810.951 0.69680573 -0.32078384
42475.63 15810.238 0.69166208 -0.31468031
42476.45 15809.526 0.68865319 -0.31699432
42477.26 15808.814 0.69152202 -0.31712534
42478.07 15808.102 0.69287313 -0.31316108
42478.89 15807.390 0.69031171 -0.31516629
42479.71 15806.678 0.69562344 -0.31462682
42480.52 15805.966 0.68779542 -0.30867011
42481.34 15805.254 0.69202292 -0.30855355
42482.16 15804.542 0.6890948 -0.3138808
42482.98 15803.829 0.68937641 -0.30892636
42483.80 15803.117 0.6888809 -0.30911258
42484.61 15802.405 0.68856951 -0.31043834
42485.43 15801.693 0.68556238 -0.30845877
42486.24 15800.981 0.68445183 -0.30520761
42487.06 15800.269 0.68760647 -0.30895146
