# Sweep from 15797.208Hz to 15852.442Hz step 0.46028333333332133Hz delay 0.8s
# Excitation 0.000500Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
44422.63 15797.208 0.55422885 -0.30090428
44423.45 15797.668 0.54874118 -0.30622331
44424.27 15798.129 0.55449681 -0.3073919
44425.09 15798.589 0.55872897 -0.30515341
44425.91 15799.049 0.55645467 -0.30372709
44426.72 15799.509 0.55587128 -0.30553122
44427.54 15799.970 0.55563885 -0.30138776
44428.35 15800.430 0.55682534 -0.30894802
44429.17 15800.890 0.55276297 -0.30127461
44429.98 15801.351 0.56504473 -0.30805273
44430.80 15801.811 0.55508116 -0.30744684
44431.61 15802.271 0.55879156 -0.30360195
44432.43 15802.731 0.55479313 -0.30349952
44433.25 15803.192 0.56329458 -0.30708867
44434.06 15803.652 0.55576868 -0.3020177
44434.88 15804.112 0.55591602 -0.3016909
44435.69 15804.573 0.5585394 -0.30644381
44436.51 15805.033 0.55446304 -0.30715884
44437.32 15805.493 0.55871203 -0.30706656
44438.14 15805.953 0.55470213 -0.30271977
44438.95 15806.414 0.5626581 -0.30215418
44439.77 15806.874 0.5582952 -0.31304694
44440.59 15807.334 0.55430183 -0.30728714
44441.41 15807.795 0.55093017 -0.30868662
44442.22 15808.255 0.55378308 -0.30923709
44443.04 15808.715 0.5571984 -0.30950108
44443.85 15809.175 0.55459282 -0.30667482
44444.67 15809.636 0.56047827 -0.30696069
44445.48 15810.096 0.55576874 -0.30836634
44446.30 15810.556 0.55855207 -0.30756976
44447.11 15811.016 0.55900688 -0.30996924
44447.93 15811.477 0.55915342 -0.30715327
44448.75 15811.937 0.56012277 -0.3076029
44449.56 15812.397 0.56008759 -0.3125225
44450.38 15812.858 0.5590648 -0.31221293
44451.19 15813.318 0.55471054 -0.31358496
44452.01 15813.778 0.56308619 -0.31078068
44452.82 15814.238 0.56482219 -0.31589582
44453.64 15814.699 0.55843003 -0.3130188
44454.45 15815.159 0.55704828 -0.31126984
44455.27 15815.619 0.56098725 -0.30823671
44456.09 15816.080 0.56598242 -0.31808347
44456.91 15816.540 0.55765628 -0.32004436
44457.72 15817.000 0.56992553 -0.30980269
44458.54 15817.460 0.56621354 -0.31541808
44459.36 15817.921 0.56636009 -0.31813076
44460.17 15818.381 0.56681938 -0.31392926
44460.99 15818.841 0.5694065 -0.31798663
44461.80 15819.302 0.57536306 -0.3160026
44462.62 15819.762 0.57186884 -0.31246748
44463.43 15820.222 0.5794559 -0.31954761
44464.25 15820.682 0.57783416 -0.3137242
44465.06 15821.143 0.57664994 -0.3131035
44465.88 15821.603 0.58358103 -0.31926632
44466.70 15822.063 0.58227164 -0.31400023
44467.51 15822.524 0.58524921 -0.31734908
44468.33 15822.984 0.58923337 -0.31198471
44469.14 15823.444 0.59338595 -0.31430221
44469.96 15823.904 0.59282132 -0.30931346
44470.78 15824.365 0.59479572 -0.30464156
44471.59 15824.825 0.5925038 -0.30124355
44472.41 15825.285 0.59636176 -0.29857205
44473.23 15825.746 0.59350043 -0.29385342
44474.04 15826.206 0.58824759 -0.29192961
44474.85 15826.666 0.5842316 -0.28067876
44475.67 15827.126 0.58837122 -0.28098719
44476.48 15827.587 0.58000251 -0.28547936
44477.30 15828.047 0.58471642 -0.27348705
44478.12 15828.507 0.57521908 -0.28095025
44478.93 15828.968 0.5703256 -0.27739117
44479.75 15829.428 0.57140869 -0.27801613
44480.57 15829.888 0.56438796 -0.2781893
44481.39 15830.348 0.56719119 -0.28123881
44482.20 15830.809 0.56841424 -0.27956702
44483.02 15831.269 0.56395913 -0.2900839
44483.84 15831.729 0.56397431 -0.28600996
44484.66 15832.190 0.56458009 -0.28184783
44485.48 15832.650 0.56436215 -0.27900822
44486.29 15833.110 0.56402592 -0.28054203
44487.11 15833.570 0.56600902 -0.28748195
44487.92 15834.031 0.56493116 -0.27987647
44488.74 15834.491 0.55984259 -0.28529089
44489.55 15834.951 0.5557186 -0.27992428
44490.37 15835.412 0.56346954 -0.28576255
44491.18 15835.872 0.55873755 -0.28880157
44492.00 15836.332 0.55780777 -0.28942884
44492.81 15836.792 0.55411584 -0.2914654
44493.63 15837.253 0.55771307 -0.28571719
44494.44 15837.713 0.56437489 -0.2869057
44495.26 15838.173 0.56355259 -0.29290536
44496.07 15838.633 0.56302554 -0.28411318
44496.89 15839.094 0.55633279 -0.28422571
44497.71 15839.554 0.55634433 -0.28562255
44498.52 15840.014 0.55418479 -0.28574235
44499.34 15840.475 0.56346386 -0.28821032
44500.16 15840.935 0.56126453 -0.29615984
44500.98 15841.395 0.55935828 -0.29399573
44501.80 15841.855 0.55710706 -0.2914216
44502.62 15842.316 0.56003358 -0.28879884
44503.43 15842.776 0.55772551 -0.29301134
44504.25 15843.236 0.56122167 -0.28495381
44505.06 15843.697 0.55635462 -0.29002763
44505.88 15844.157 0.55698433 -0.28733035
44506.69 15844.617 0.55449368 -0.29408008
44507.51 15845.077 0.55516983 -0.29523639
44508.33 15845.538 0.55259613 -0.29268421
44509.15 15845.998 0.55881122 -0.28701774
44509.97 15846.458 0.56026113 -0.28740649
44510.78 15846.919 0.55770317 -0.28867356
44511.60 15847.379 0.55387039 -0.29283026
44512.42 15847.839 0.55633888 -0.29660509
44513.23 15848.299 0.55159524 -0.29539785
44514.05 15848.760 0.55429541 -0.28551969
44514.86 15849.220 0.55559991 -0.29370008
44515.68 15849.680 0.55226172 -0.29192648
44516.50 15850.141 0.55635212 -0.2953833
44517.31 15850.601 0.55700929 -0.294594
44518.12 15851.061 0.55392599 -0.29489226
44518.94 15851.521 0.55600941 -0.29085317
44519.75 15851.982 0.55891411 -0.28919942
44520.56 15852.442 0.55535315 -0.28585183
