# Sweep from 15847.714Hz to 15802.475Hz step -0.37699166666666317Hz delay 0.8s
# Excitation 0.000874Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
62610.95 15847.714 0.9670573 -0.29162811
62611.76 15847.337 0.97272869 -0.29580661
62612.58 15846.960 0.97511293 -0.29280454
62613.39 15846.583 0.97050918 -0.29396998
62614.21 15846.206 0.96927135 -0.29480907
62615.02 15845.829 0.97259056 -0.28907954
62615.84 15845.452 0.97473639 -0.29283734
62616.66 15845.075 0.96786835 -0.295326
62617.48 15844.698 0.97565237 -0.29445758
62618.29 15844.321 0.96645374 -0.29307864
62619.11 15843.944 0.96820725 -0.28666301
62619.92 15843.567 0.96611745 -0.29449114
62620.74 15843.190 0.97570739 -0.29429839
62621.56 15842.813 0.97507677 -0.29270808
62622.38 15842.436 0.97522377 -0.29114881
62623.19 15842.059 0.97553016 -0.29181473
62624.01 15841.682 0.97779537 -0.29295882
62624.82 15841.305 0.97457973 -0.29060686
62625.64 15840.928 0.97268548 -0.29385058
62626.45 15840.551 0.97232794 -0.28981685
62627.27 15840.174 0.97356394 -0.29010457
62628.09 15839.797 0.97098632 -0.28848788
62628.90 15839.420 0.96950112 -0.29167541
62629.72 15839.043 0.97489487 -0.29049468
62630.54 15838.666 0.98300768 -0.28835711
62631.35 15838.289 0.9776785 -0.28658985
62632.17 15837.912 0.97134671 -0.28731671
62632.99 15837.535 0.97735358 -0.2866901
62633.80 15837.158 0.97566658 -0.28283654
62634.62 15836.781 0.97698944 -0.28836038
62635.43 15836.404 0.97852183 -0.28595881
62636.25 15836.027 0.97965085 -0.28663129
62637.07 15835.650 0.97968848 -0.28251708
62637.89 15835.273 0.98037185 -0.29358227
62638.70 15834.896 0.98217799 -0.28637783
62639.52 15834.519 0.98373141 -0.28480855
62640.34 15834.142 0.9829937 -0.286351
62641.16 15833.765 0.9759566 -0.28001622
62641.98 15833.388 0.98399823 -0.2765247
62642.79 15833.011 0.98904763 -0.28267763
62643.61 15832.634 0.98636167 -0.28086552
62644.43 15832.257 0.98833459 -0.27664484
62645.24 15831.880 0.98539556 -0.27848634
62646.06 15831.503 0.98114663 -0.277683
62646.87 15831.126 0.99440638 -0.27974198
62647.68 15830.749 0.99558054 -0.2751934
62648.50 15830.372 0.9946383 -0.26537435
62649.31 15829.995 0.99921317 -0.27195537
62650.13 15829.618 1.0035661 -0.27346175
62650.94 15829.241 1.0003989 -0.27478961
62651.76 15828.864 1.0034041 -0.26752875
62652.58 15828.487 1.007286 -0.27256635
62653.40 15828.110 1.0135068 -0.27604179
62654.21 15827.733 1.023275 -0.27719443
62655.03 15827.356 1.0218508 -0.2748902
62655.85 15826.979 1.029858 -0.27615573
62656.66 15826.602 1.0363322 -0.28134187
62657.48 15826.225 1.0371009 -0.28896716
62658.30 15825.848 1.0397047 -0.29843849
62659.12 15825.471 1.0433364 -0.30120444
62659.94 15825.094 1.0401969 -0.30806245
62660.75 15824.718 1.037073 -0.31959755
62661.57 15824.341 1.0375127 -0.32435378
62662.38 15823.964 1.0324665 -0.33596726
62663.20 15823.587 1.027541 -0.32805809
62664.01 15823.210 1.0258941 -0.34102621
62664.83 15822.833 1.0188993 -0.33817219
62665.64 15822.456 1.0226423 -0.34331606
62666.46 15822.079 1.0137012 -0.34082254
62667.27 15821.702 1.0196098 -0.34592603
62668.08 15821.325 1.0082291 -0.34668625
62668.90 15820.948 1.005985 -0.34629903
62669.72 15820.571 1.0017899 -0.34292955
62670.54 15820.194 0.99900649 -0.33944067
62671.35 15819.817 0.99461045 -0.34160112
62672.17 15819.440 0.9998198 -0.34388239
62672.98 15819.063 0.99079705 -0.34536191
62673.80 15818.686 0.9862656 -0.34222538
62674.61 15818.309 0.98999124 -0.34160709
62675.43 15817.932 0.9856567 -0.33294791
62676.25 15817.555 0.98794976 -0.33924809
62677.07 15817.178 0.98567693 -0.33860945
62677.88 15816.801 0.98096461 -0.33121989
62678.70 15816.424 0.98427051 -0.33705521
62679.52 15816.047 0.98591943 -0.33333714
62680.34 15815.670 0.9804387 -0.33784087
62681.15 15815.293 0.97766497 -0.33490139
62681.96 15814.916 0.98318822 -0.33281248
62682.78 15814.539 0.97138093 -0.32886837
62683.59 15814.162 0.97773272 -0.33402631
62684.41 15813.785 0.97925772 -0.33056114
62685.22 15813.408 0.97542875 -0.32982328
62686.04 15813.031 0.97956945 -0.32621625
62686.86 15812.654 0.98002795 -0.32957661
62687.67 15812.277 0.97887266 -0.32664499
62688.49 15811.900 0.9754325 -0.33111687
62689.30 15811.523 0.97408918 -0.32971198
62690.12 15811.146 0.97655868 -0.32557449
62690.93 15810.769 0.9736259 -0.32523016
62691.75 15810.392 0.97768384 -0.32391495
62692.56 15810.015 0.97438999 -0.32643806
62693.38 15809.638 0.97646614 -0.3253497
62694.19 15809.261 0.97234363 -0.32617535
62695.01 15808.884 0.97436703 -0.31978692
62695.82 15808.507 0.97535008 -0.32511392
62696.64 15808.130 0.97384486 -0.32674896
62697.46 15807.753 0.9741384 -0.32634676
62698.27 15807.376 0.9784095 -0.31835665
62699.09 15806.999 0.97265934 -0.32678659
62699.90 15806.622 0.97399936 -0.31829956
62700.72 15806.245 0.97418103 -0.32389624
62701.54 15805.868 0.97264626 -0.31946979
62702.35 15805.491 0.97788109 -0.31986517
62703.17 15805.114 0.97503096 -0.31982836
62703.98 15804.737 0.97040277 -0.32401579
62704.80 15804.360 0.96761596 -0.32351363
62705.62 15803.983 0.97370776 -0.32133261
62706.43 15803.606 0.96769384 -0.32186779
62707.25 15803.229 0.96657402 -0.32108525
62708.06 15802.852 0.9712569 -0.32048666
62708.88 15802.475 0.97165162 -0.32290973
