# Sweep from 15844.130Hz to 15806.165Hz step -0.31637499999998603Hz delay 0.8s
# Excitation 0.002294Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
73875.93 15844.130 2.5542668 -0.30099537
73876.74 15843.814 2.5564225 -0.30210848
73877.56 15843.497 2.5566962 -0.30322479
73878.37 15843.181 2.5578213 -0.29740832
73879.19 15842.864 2.5566676 -0.3023122
73880.00 15842.548 2.5569484 -0.30533855
73880.82 15842.232 2.5585277 -0.29966247
73881.64 15841.915 2.5605673 -0.29969814
73882.45 15841.599 2.5556733 -0.29998452
73883.26 15841.283 2.5580264 -0.30079931
73884.08 15840.966 2.560889 -0.29643229
73884.90 15840.650 2.5586417 -0.30152233
73885.71 15840.333 2.5608888 -0.29488416
73886.53 15840.017 2.5619054 -0.29491156
73887.35 15839.701 2.5628581 -0.297501
73888.16 15839.384 2.5653312 -0.29809254
73888.98 15839.068 2.563103 -0.2905808
73889.80 15838.752 2.560824 -0.29179512
73890.62 15838.435 2.5655404 -0.29282077
73891.43 15838.119 2.5629879 -0.29240837
73892.25 15837.802 2.565846 -0.29370162
73893.07 15837.486 2.5666836 -0.28872688
73893.88 15837.170 2.5686343 -0.28725881
73894.70 15836.853 2.5728762 -0.28422426
73895.51 15836.537 2.5663574 -0.283833
73896.32 15836.221 2.5721038 -0.28102096
73897.14 15835.904 2.5738409 -0.28476185
73897.96 15835.588 2.5748404 -0.27685633
73898.77 15835.271 2.5766194 -0.27483287
73899.58 15834.955 2.5741697 -0.27283517
73900.40 15834.639 2.5858719 -0.26760148
73901.21 15834.322 2.5786403 -0.27141132
73902.03 15834.006 2.5833644 -0.26892073
73902.84 15833.690 2.5859231 -0.26747398
73903.66 15833.373 2.5846298 -0.26424735
73904.48 15833.057 2.5864774 -0.26755089
73905.30 15832.740 2.5895843 -0.26185924
73906.11 15832.424 2.5941827 -0.26627887
73906.93 15832.108 2.5939175 -0.26130769
73907.75 15831.791 2.6016889 -0.25748915
73908.56 15831.475 2.6027135 -0.25073106
73909.37 15831.159 2.604964 -0.25536255
73910.19 15830.842 2.6136586 -0.24700569
73911.00 15830.526 2.6193934 -0.24452669
73911.82 15830.209 2.6222554 -0.24341358
73912.64 15829.893 2.6317607 -0.24465135
73913.45 15829.577 2.6368689 -0.23408745
73914.27 15829.260 2.6464056 -0.23808562
73915.08 15828.944 2.6593139 -0.23390841
73915.89 15828.628 2.6673256 -0.23488462
73916.71 15828.311 2.6736682 -0.232622
73917.52 15827.995 2.683714 -0.23840506
73918.34 15827.678 2.699885 -0.23833196
73919.15 15827.362 2.7053438 -0.24172158
73919.97 15827.046 2.7130839 -0.2488149
73920.79 15826.729 2.7319411 -0.24871491
73921.61 15826.413 2.7372475 -0.26208653
73922.42 15826.097 2.7512167 -0.26657031
73923.24 15825.780 2.7598066 -0.29017656
73924.06 15825.464 2.7593619 -0.30001686
73924.87 15825.147 2.7774943 -0.32369664
73925.69 15824.831 2.7804417 -0.33923902
73926.50 15824.515 2.7784072 -0.3600702
73927.32 15824.198 2.7720271 -0.3825177
73928.13 15823.882 2.7619324 -0.40495036
73928.95 15823.566 2.7439416 -0.42267814
73929.77 15823.249 2.7222316 -0.44535616
73930.58 15822.933 2.7018057 -0.44674923
73931.40 15822.617 2.6795217 -0.45346178
73932.22 15822.300 2.6693986 -0.45882112
73933.03 15821.984 2.65933 -0.4536866
73933.85 15821.667 2.6454591 -0.45313629
73934.67 15821.351 2.6395126 -0.45304608
73935.48 15821.035 2.6337195 -0.44856387
73936.30 15820.718 2.6218434 -0.43793486
73937.12 15820.402 2.6170628 -0.45070675
73937.93 15820.086 2.6072314 -0.44160311
73938.74 15819.769 2.6096566 -0.43604854
73939.56 15819.453 2.6041291 -0.43412149
73940.38 15819.136 2.5964164 -0.43577089
73941.19 15818.820 2.5950822 -0.43620383
73942.01 15818.504 2.5912107 -0.42617515
73942.82 15818.187 2.5904355 -0.42633357
73943.64 15817.871 2.5879972 -0.42758276
73944.46 15817.555 2.5853392 -0.41958401
73945.27 15817.238 2.5805991 -0.41073508
73946.09 15816.922 2.5792287 -0.41929798
73946.91 15816.605 2.5775196 -0.42039105
73947.72 15816.289 2.5716004 -0.41185839
73948.53 15815.973 2.578126 -0.41002085
73949.35 15815.656 2.5730271 -0.40697188
73950.16 15815.340 2.5677575 -0.40602734
73950.98 15815.024 2.5688528 -0.4096953
73951.79 15814.707 2.5672491 -0.40785483
73952.61 15814.391 2.5681184 -0.40677133
73953.42 15814.074 2.5669751 -0.40416734
73954.24 15813.758 2.572119 -0.40125394
73955.05 15813.442 2.5732002 -0.39882329
73955.87 15813.125 2.5688842 -0.39655546
73956.69 15812.809 2.5665759 -0.40085649
73957.50 15812.493 2.5672309 -0.39605618
73958.32 15812.176 2.5607337 -0.39865029
73959.14 15811.860 2.558141 -0.39981401
73959.96 15811.543 2.5643319 -0.38849043
73960.78 15811.227 2.5620027 -0.39423816
73961.59 15810.911 2.5653985 -0.38872352
73962.41 15810.594 2.555799 -0.38803523
73963.23 15810.278 2.5578167 -0.39109764
73964.04 15809.962 2.5583749 -0.39561502
73964.86 15809.645 2.5633371 -0.39055971
73965.68 15809.329 2.5569122 -0.3863727
73966.49 15809.012 2.5628278 -0.38614962
73967.31 15808.696 2.5666916 -0.39056502
73968.12 15808.380 2.5593306 -0.38681452
73968.94 15808.063 2.5548936 -0.38151248
73969.75 15807.747 2.5575425 -0.38690814
73970.57 15807.431 2.5615029 -0.38922869
73971.39 15807.114 2.5587647 -0.38138768
73972.20 15806.798 2.5595355 -0.38229985
73973.02 15806.481 2.5564477 -0.38797157
73973.83 15806.165 2.5578117 -0.38263832
