# Sweep from 32354.522Hz to 32354.298Hz step -0.005600000000049477Hz delay 20s
# Excitation 0.040000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
8466.84 32354.522 0.709409 1.56161
8486.87 32354.516 0.758522 1.64437
8506.91 32354.511 0.822187 1.73623
8526.94 32354.505 0.903132 1.85265
8546.97 32354.500 1.00318 1.96088
8567.00 32354.494 1.11505 2.08458
8587.03 32354.488 1.2442 2.21736
8607.06 32354.483 1.38972 2.3456
8627.09 32354.477 1.58435 2.49567
8647.13 32354.472 1.77443 2.64392
8667.16 32354.466 2.03546 2.83673
8687.19 32354.460 2.32104 2.98407
8707.22 32354.455 2.70121 3.13413
8727.25 32354.449 3.12413 3.2651
8747.28 32354.444 3.60798 3.34514
8767.31 32354.438 4.16279 3.32695
8787.35 32354.432 4.76123 3.21781
8807.38 32354.427 5.38333 2.95042
8827.41 32354.421 5.96359 2.45838
8847.44 32354.416 6.4247 1.85174
8867.47 32354.410 6.7885 0.962252
8887.50 32354.404 6.95402 -0.119145
8907.53 32354.399 6.85853 -1.41882
8927.56 32354.393 6.34012 -2.88675
8947.60 32354.388 4.99861 -4.42381
8967.63 32354.382 2.63937 -4.81944
8987.67 32354.376 1.61436 -4.06456
9007.70 32354.371 1.20509 -3.72532
9027.73 32354.365 0.926779 -3.44336
9047.76 32354.360 0.722142 -3.18688
9067.79 32354.354 0.554795 -2.93223
9087.82 32354.348 0.432012 -2.72577
9107.85 32354.343 0.371985 -2.5466
9127.89 32354.337 0.314687 -2.39199
9147.92 32354.332 0.252841 -2.25283
9167.95 32354.326 0.224646 -2.15006
9187.98 32354.320 0.186447 -2.04729
9208.02 32354.315 0.140973 -1.93997
9228.05 32354.309 0.122783 -1.85538
9248.08 32354.304 0.0991354 -1.76716
9268.12 32354.298 0.074579 -1.71168
