# Sweep from 15850.153Hz to 15798.869Hz step -0.7326285714285664Hz delay 0.8s
# Excitation 0.000665Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
42113.90 15850.153 0.73917744 -0.29355874
42114.72 15849.420 0.73194849 -0.29349334
42115.54 15848.688 0.73664694 -0.28925589
42116.35 15847.955 0.74570085 -0.29130086
42117.17 15847.222 0.74424884 -0.30105409
42117.99 15846.490 0.7369128 -0.28804629
42118.81 15845.757 0.73266864 -0.29182618
42119.62 15845.025 0.74083118 -0.29225302
42120.44 15844.292 0.74037598 -0.28574203
42121.26 15843.559 0.74209447 -0.29406627
42122.07 15842.827 0.73344506 -0.29199052
42122.89 15842.094 0.74474104 -0.29450052
42123.70 15841.361 0.74385849 -0.29169584
42124.52 15840.629 0.74367478 -0.2915481
42125.33 15839.896 0.73939242 -0.28639951
42126.15 15839.164 0.74325419 -0.28844951
42126.96 15838.431 0.73739278 -0.28958476
42127.78 15837.698 0.74247799 -0.2891814
42128.59 15836.966 0.74177086 -0.28724318
42129.41 15836.233 0.74583522 -0.28528288
42130.22 15835.500 0.74451674 -0.28194498
42131.04 15834.768 0.74049785 -0.2820222
42131.85 15834.035 0.74109397 -0.2785537
42132.66 15833.303 0.74896587 -0.28200748
42133.48 15832.570 0.74934786 -0.28142122
42134.29 15831.837 0.75103014 -0.28199955
42135.11 15831.105 0.75894451 -0.27658928
42135.93 15830.372 0.75666952 -0.27973616
42136.74 15829.639 0.75711995 -0.27369416
42137.56 15828.907 0.7664139 -0.2741163
42138.37 15828.174 0.77320055 -0.2808913
42139.19 15827.442 0.77470497 -0.28298905
42140.01 15826.709 0.78670951 -0.28697892
42140.83 15825.976 0.78579239 -0.2926204
42141.64 15825.244 0.79342328 -0.30394619
42142.46 15824.511 0.78973005 -0.3118229
42143.27 15823.778 0.78542939 -0.3204263
42144.09 15823.046 0.7822178 -0.32594056
42144.90 15822.313 0.77277446 -0.33443922
42145.72 15821.580 0.76661956 -0.33306364
42146.53 15820.848 0.76531722 -0.32522695
42147.35 15820.115 0.75998793 -0.32268076
42148.16 15819.383 0.76035195 -0.32613221
42148.98 15818.650 0.75462907 -0.32258163
42149.80 15817.917 0.75947821 -0.3203499
42150.61 15817.185 0.74921269 -0.3254377
42151.43 15816.452 0.74031362 -0.32366808
42152.25 15815.719 0.74293763 -0.32291345
42153.06 15814.987 0.74752097 -0.32547823
42153.88 15814.254 0.74324191 -0.32293639
42154.69 15813.522 0.73859303 -0.31746899
42155.51 15812.789 0.74262704 -0.31431892
42156.33 15812.056 0.73764841 -0.31446174
42157.14 15811.324 0.73700329 -0.31354745
42157.96 15810.591 0.74315494 -0.31615107
42158.78 15809.858 0.73800129 -0.31517794
42159.59 15809.126 0.74386782 -0.31609559
42160.41 15808.393 0.73651734 -0.30814542
42161.23 15807.661 0.7436102 -0.31751489
42162.04 15806.928 0.73886355 -0.30943048
42162.86 15806.195 0.73766046 -0.31254766
42163.67 15805.463 0.74172732 -0.30705735
42164.49 15804.730 0.73743553 -0.31286166
42165.30 15803.997 0.73981215 -0.3102098
42166.12 15803.265 0.73739301 -0.3079081
42166.94 15802.532 0.73832297 -0.31026192
42167.75 15801.800 0.73981278 -0.31241862
42168.56 15801.067 0.73727705 -0.30912142
42169.38 15800.334 0.73629343 -0.30960007
42170.20 15799.602 0.73863322 -0.31117469
42171.01 15798.869 0.73911292 -0.30770894
