# Sweep from 15806.612Hz to 15841.245Hz step 0.2886083333333469Hz delay 0.8s
# Excitation 0.003443Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
78520.92 15806.612 3.8878788 -0.43587815
78521.73 15806.901 3.8846779 -0.43570552
78522.55 15807.189 3.8896228 -0.4354583
78523.36 15807.478 3.8859966 -0.43855738
78524.18 15807.766 3.8825842 -0.43565561
78525.00 15808.055 3.8818703 -0.43777081
78525.82 15808.344 3.8861044 -0.44505768
78526.63 15808.632 3.8873336 -0.43844338
78527.45 15808.921 3.8853682 -0.44214397
78528.27 15809.209 3.8870908 -0.43958426
78529.08 15809.498 3.8870794 -0.447107
78529.90 15809.787 3.8890867 -0.44562569
78530.72 15810.075 3.8891199 -0.44893565
78531.54 15810.364 3.8917442 -0.4480917
78532.36 15810.653 3.8936641 -0.45081967
78533.17 15810.941 3.8910771 -0.45165501
78533.99 15811.230 3.8937865 -0.44892323
78534.80 15811.518 3.8985945 -0.45083956
78535.62 15811.807 3.8945832 -0.45752896
78536.43 15812.096 3.8969297 -0.4577272
78537.25 15812.384 3.8967169 -0.45373019
78538.06 15812.673 3.8991079 -0.4586841
78538.88 15812.961 3.8948765 -0.45844502
78539.69 15813.250 3.8987041 -0.46026463
78540.51 15813.539 3.9008246 -0.45912819
78541.33 15813.827 3.9016295 -0.46669021
78542.14 15814.116 3.8997659 -0.46275593
78542.96 15814.404 3.8989283 -0.46764359
78543.78 15814.693 3.9025617 -0.47106107
78544.60 15814.982 3.910523 -0.47456649
78545.42 15815.270 3.9067222 -0.47757277
78546.23 15815.559 3.908312 -0.48115942
78547.05 15815.847 3.9102424 -0.47365347
78547.87 15816.136 3.9134557 -0.48357072
78548.68 15816.425 3.9184119 -0.48325194
78549.50 15816.713 3.914402 -0.48589158
78550.32 15817.002 3.9179204 -0.48432554
78551.13 15817.291 3.9244132 -0.49134957
78551.95 15817.579 3.92625 -0.49645286
78552.76 15817.868 3.9361407 -0.49671854
78553.58 15818.156 3.9366187 -0.50000892
78554.39 15818.445 3.9437127 -0.50108235
78555.21 15818.734 3.9424795 -0.50886052
78556.02 15819.022 3.9490737 -0.50862553
78556.84 15819.311 3.9545034 -0.51731996
78557.65 15819.599 3.9627312 -0.52381876
78558.46 15819.888 3.9639567 -0.5192644
78559.28 15820.177 3.982002 -0.53602912
78560.10 15820.465 3.9839842 -0.53704332
78560.92 15820.754 4.0035175 -0.54548286
78561.73 15821.042 4.0167902 -0.54441216
78562.54 15821.331 4.0414393 -0.54837966
78563.36 15821.620 4.0773621 -0.55425738
78564.18 15821.908 4.121222 -0.54639617
78564.99 15822.197 4.1882258 -0.51860638
78565.81 15822.485 4.257894 -0.42216013
78566.63 15822.774 4.2608549 -0.36185685
78567.44 15823.063 4.2613206 -0.33200405
78568.26 15823.351 4.2517572 -0.30665115
78569.07 15823.640 4.2448892 -0.29357935
78569.89 15823.928 4.2271763 -0.27271625
78570.71 15824.217 4.2202032 -0.25631721
78571.52 15824.506 4.2087463 -0.24243005
78572.34 15824.794 4.1876947 -0.23184776
78573.16 15825.083 4.1694011 -0.22173211
78573.97 15825.372 4.1645694 -0.21134186
78574.79 15825.660 4.1452954 -0.21037724
78575.61 15825.949 4.1338199 -0.2043774
78576.42 15826.237 4.1213666 -0.20456194
