# Sweep from 15799.708Hz to 15841.238Hz step 0.34608333333332364Hz delay 0.8s
# Excitation 0.006332Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
85835.28 15799.708 7.1319159 -0.53036365
85836.10 15800.054 7.1288464 -0.53477481
85836.92 15800.400 7.1308164 -0.53611944
85837.73 15800.746 7.1312575 -0.53327733
85838.55 15801.092 7.1299796 -0.53894064
85839.36 15801.438 7.1318932 -0.53680259
85840.18 15801.784 7.1340969 -0.53800471
85841.00 15802.131 7.1352829 -0.5376649
85841.81 15802.477 7.1360409 -0.53395547
85842.63 15802.823 7.1321469 -0.53962287
85843.44 15803.169 7.1362674 -0.55184802
85844.26 15803.515 7.134503 -0.54491727
85845.07 15803.861 7.1309864 -0.53811237
85845.89 15804.207 7.1353197 -0.54489919
85846.71 15804.553 7.135613 -0.54689372
85847.52 15804.899 7.1356267 -0.55229344
85848.34 15805.245 7.1410213 -0.54976454
85849.16 15805.591 7.1380286 -0.55208994
85849.97 15805.938 7.1412778 -0.55322437
85850.80 15806.284 7.1363402 -0.5604515
85851.61 15806.630 7.138065 -0.55947123
85852.43 15806.976 7.1428685 -0.56071093
85853.24 15807.322 7.1453874 -0.56481593
85854.05 15807.668 7.14112 -0.56775991
85854.87 15808.014 7.1465984 -0.56527421
85855.69 15808.360 7.1406357 -0.56463432
85856.50 15808.706 7.1442892 -0.57360484
85857.31 15809.052 7.1502504 -0.56410272
85858.13 15809.398 7.1414051 -0.57335041
85858.95 15809.744 7.1497498 -0.57573931
85859.76 15810.091 7.1486443 -0.58237799
85860.58 15810.437 7.1441282 -0.58443976
85861.39 15810.783 7.1578074 -0.58145588
85862.21 15811.129 7.1525005 -0.58663056
85863.02 15811.475 7.1500904 -0.58701534
85863.84 15811.821 7.1599661 -0.59281706
85864.66 15812.167 7.1536451 -0.59343006
85865.47 15812.513 7.1578984 -0.59883462
85866.29 15812.859 7.1605273 -0.60545455
85867.10 15813.205 7.1657373 -0.60937134
85867.92 15813.551 7.1654831 -0.6206289
85868.74 15813.897 7.1708714 -0.61511582
85869.56 15814.244 7.1719801 -0.62413864
85870.37 15814.590 7.1779018 -0.62478296
85871.19 15814.936 7.1764489 -0.6336216
85872.01 15815.282 7.1790932 -0.64516934
85872.83 15815.628 7.18922 -0.65154387
85873.64 15815.974 7.189954 -0.6581991
85874.46 15816.320 7.1964923 -0.66328715
85875.28 15816.666 7.2096332 -0.67040912
85876.09 15817.012 7.2169437 -0.67992715
85876.91 15817.358 7.2328812 -0.6979862
85877.72 15817.704 7.2431212 -0.71219074
85878.54 15818.050 7.2663356 -0.73790108
85879.35 15818.397 7.3859378 -0.7594727
85880.16 15818.743 7.6385713 -0.26733056
85880.98 15819.089 7.6223305 -0.228516
85881.80 15819.435 7.6166566 -0.2139044
85882.61 15819.781 7.5941621 -0.18361254
85883.43 15820.127 7.5844682 -0.1677529
85884.25 15820.473 7.5684425 -0.14253864
85885.07 15820.819 7.5522362 -0.13556763
85885.89 15821.165 7.5430225 -0.11747769
85886.70 15821.511 7.5254179 -0.11116695
85887.52 15821.857 7.5136777 -0.097326676
85888.33 15822.203 7.4951872 -0.098388071
85889.14 15822.549 7.4858531 -0.084384155
85889.96 15822.896 7.470881 -0.08452097
85890.78 15823.242 7.4649124 -0.075189817
85891.59 15823.588 7.448094 -0.075897432
85892.41 15823.934 7.4429631 -0.080521311
85893.22 15824.280 7.4244772 -0.083433413
85894.04 15824.626 7.4189379 -0.082449937
