# Sweep from 15839.344Hz to 15814.702Hz step -0.24641999999999825Hz delay 0.9s
# Excitation 0.000672Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
1009.62 15839.344 0.74862038 -0.28868516
1010.53 15839.098 0.74690092 -0.28098279
1011.45 15838.851 0.7539457 -0.28674268
1012.37 15838.605 0.74889664 -0.28839167
1013.29 15838.358 0.74634528 -0.2846308
1014.20 15838.112 0.74886839 -0.28450503
1015.12 15837.865 0.75085921 -0.28541837
1016.03 15837.619 0.7536209 -0.28486733
1016.95 15837.373 0.74906325 -0.28092737
1017.87 15837.126 0.75130225 -0.2795841
1018.79 15836.880 0.74918194 -0.28156086
1019.70 15836.633 0.75091674 -0.28197809
1020.61 15836.387 0.74549291 -0.27709601
1021.52 15836.141 0.75033307 -0.28551915
1022.44 15835.894 0.75296236 -0.27927047
1023.36 15835.648 0.75191883 -0.27089732
1024.27 15835.401 0.75285959 -0.27598668
1025.18 15835.155 0.75142538 -0.27919987
1026.10 15834.908 0.75126928 -0.27616076
1027.01 15834.662 0.74962531 -0.27156651
1027.93 15834.416 0.7552095 -0.27729686
1028.85 15834.169 0.75415005 -0.27667826
1029.76 15833.923 0.75548934 -0.27404917
1030.68 15833.676 0.76082773 -0.27644077
1031.59 15833.430 0.7611643 -0.27335358
1032.51 15833.183 0.75792951 -0.27480363
1033.43 15832.937 0.75690321 -0.26989449
1034.35 15832.691 0.75245651 -0.27222075
1035.26 15832.444 0.75568397 -0.27015949
1036.18 15832.198 0.76399323 -0.27057206
1037.10 15831.951 0.76229753 -0.26961013
1038.01 15831.705 0.75726598 -0.26685615
1038.93 15831.459 0.75988333 -0.26641499
1039.84 15831.212 0.76704737 -0.26427949
1040.76 15830.966 0.76769606 -0.25949842
1041.68 15830.719 0.76276035 -0.26236029
1042.60 15830.473 0.77730903 -0.25809257
1043.51 15830.226 0.7780036 -0.25555622
1044.43 15829.980 0.78422033 -0.25785852
1045.35 15829.734 0.78275605 -0.25263509
1046.27 15829.487 0.79005099 -0.25191611
1047.18 15829.241 0.79548551 -0.24950035
1048.10 15828.994 0.80027718 -0.25048178
1049.02 15828.748 0.81456648 -0.25137413
1049.93 15828.502 0.8158014 -0.2532789
1050.85 15828.255 0.81940703 -0.25874314
1051.76 15828.009 0.83840143 -0.26383515
1052.68 15827.762 0.84086167 -0.27257067
1053.59 15827.516 0.84679488 -0.27680824
1054.51 15827.269 0.85558685 -0.28951334
1055.42 15827.023 0.85260467 -0.308144
1056.33 15826.777 0.85034964 -0.31607433
1057.25 15826.530 0.84649548 -0.3337812
1058.17 15826.284 0.83763655 -0.33620856
1059.09 15826.037 0.82819611 -0.34239446
1060.00 15825.791 0.8244964 -0.34662793
1060.92 15825.544 0.8167915 -0.35206457
1061.83 15825.298 0.81155645 -0.35480511
1062.75 15825.052 0.80083998 -0.35258128
1063.66 15824.805 0.79810201 -0.35394737
1064.58 15824.559 0.79121241 -0.35606388
1065.50 15824.312 0.78696485 -0.35042831
1066.41 15824.066 0.78265458 -0.34686195
1067.33 15823.820 0.78113806 -0.34885318
1068.24 15823.573 0.78146542 -0.34735922
1069.16 15823.327 0.77242441 -0.35044491
1070.07 15823.080 0.77528017 -0.34253603
1070.99 15822.834 0.76636024 -0.3504708
1071.90 15822.587 0.7711003 -0.33610206
1072.82 15822.341 0.77112276 -0.34058064
1073.73 15822.095 0.76515221 -0.33888924
1074.65 15821.848 0.76218259 -0.34127552
1075.56 15821.602 0.76041999 -0.33685393
1076.48 15821.355 0.76284562 -0.33873769
1077.40 15821.109 0.75587116 -0.33571609
1078.31 15820.862 0.76036395 -0.33712553
1079.23 15820.616 0.76306145 -0.33480845
1080.15 15820.370 0.75673256 -0.32892743
1081.07 15820.123 0.76312767 -0.33504827
1081.99 15819.877 0.75956535 -0.33742646
1082.90 15819.630 0.75575571 -0.33456257
1083.82 15819.384 0.75504147 -0.33241162
1084.73 15819.138 0.75806861 -0.32691742
1085.65 15818.891 0.75279479 -0.32855957
1086.57 15818.645 0.75279115 -0.32594372
1087.49 15818.398 0.75343127 -0.33251513
1088.40 15818.152 0.75733897 -0.32723912
1089.31 15817.905 0.74721748 -0.32973526
1090.23 15817.659 0.75502209 -0.32621838
1091.14 15817.413 0.75061325 -0.32435685
1092.06 15817.166 0.75214933 -0.32391767
1092.98 15816.920 0.7570215 -0.32897213
1093.89 15816.673 0.75445155 -0.32243611
1094.81 15816.427 0.7549184 -0.32103833
1095.72 15816.181 0.74850527 -0.32393578
1096.64 15815.934 0.75155469 -0.32526657
1097.55 15815.688 0.75039998 -0.31724409
1098.47 15815.441 0.74888885 -0.32393405
1099.39 15815.195 0.74917818 -0.31912276
1100.30 15814.948 0.74646084 -0.32279985
1101.22 15814.702 0.75054049 -0.31119404
