# Sweep from 15808.486Hz to 15838.071Hz step 0.2465416666666594Hz delay 0.9s
# Excitation 0.002539Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
12162.92 15808.486 2.826104 -0.3978989
12163.84 15808.733 2.8252766 -0.39207691
12164.76 15808.979 2.8371251 -0.39964266
12165.67 15809.226 2.8265795 -0.39604518
12166.58 15809.472 2.834408 -0.40043707
12167.50 15809.719 2.8311033 -0.39786522
12168.42 15809.965 2.8264988 -0.39785996
12169.33 15810.212 2.829373 -0.40120295
12170.25 15810.458 2.8314994 -0.4011082
12171.16 15810.705 2.8320153 -0.40484917
12172.08 15810.951 2.836515 -0.40265573
12172.99 15811.198 2.8232232 -0.40006739
12173.91 15811.445 2.8315585 -0.40284181
12174.83 15811.691 2.830689 -0.39718634
12175.74 15811.938 2.831146 -0.4059678
12176.66 15812.184 2.8315906 -0.40905422
12177.57 15812.431 2.8331342 -0.40404655
12178.49 15812.677 2.8336706 -0.40823545
12179.41 15812.924 2.8374784 -0.40047644
12180.33 15813.170 2.8329291 -0.4118136
12181.24 15813.417 2.8296608 -0.41122735
12182.16 15813.663 2.8321062 -0.40814689
12183.08 15813.910 2.8327231 -0.41034934
12183.99 15814.156 2.8294296 -0.41213639
12184.91 15814.403 2.8401107 -0.41714142
12185.83 15814.650 2.8369072 -0.41850646
12186.74 15814.896 2.8322222 -0.42204945
12187.66 15815.143 2.8337665 -0.41997521
12188.57 15815.389 2.8346751 -0.41914359
12189.49 15815.636 2.8359809 -0.41943159
12190.40 15815.882 2.8378417 -0.42364647
12191.32 15816.129 2.8314321 -0.42813784
12192.24 15816.375 2.8387412 -0.42667452
12193.15 15816.622 2.8342406 -0.43011698
12194.07 15816.868 2.8382067 -0.43165301
12194.98 15817.115 2.8409111 -0.43344343
12195.90 15817.362 2.8413406 -0.43036965
12196.81 15817.608 2.8463676 -0.43457447
12197.73 15817.855 2.8432776 -0.43838466
12198.65 15818.101 2.8413915 -0.43707749
12199.56 15818.348 2.8430914 -0.43987203
12200.48 15818.594 2.8381025 -0.44261026
12201.40 15818.841 2.840834 -0.44272298
12202.31 15819.087 2.8456732 -0.45054074
12203.23 15819.334 2.851137 -0.45074037
