# Sweep from 15800.903Hz to 15849.445Hz step 0.6934571428571351Hz delay 0.8s
# Excitation 0.000622Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
42271.88 15800.903 0.69369906 -0.31432953
42272.70 15801.596 0.6943983 -0.30833289
42273.52 15802.290 0.68971872 -0.30938466
42274.34 15802.983 0.69537606 -0.30996779
42275.15 15803.677 0.69158142 -0.30995338
42275.97 15804.370 0.69227656 -0.31432722
42276.79 15805.064 0.69420997 -0.30931005
42277.60 15805.757 0.68875192 -0.31316188
42278.42 15806.451 0.69394309 -0.3095347
42279.23 15807.144 0.69064902 -0.30978268
42280.05 15807.838 0.69293441 -0.31127519
42280.86 15808.531 0.68939352 -0.31249695
42281.68 15809.224 0.69519427 -0.31042123
42282.50 15809.918 0.69825012 -0.31466206
42283.32 15810.611 0.69244987 -0.30740955
42284.13 15811.305 0.6947937 -0.30929195
42284.95 15811.998 0.693792 -0.32013216
42285.77 15812.692 0.69001402 -0.31656333
42286.59 15813.385 0.69813109 -0.31559486
42287.40 15814.079 0.69323784 -0.32068147
42288.22 15814.772 0.6961742 -0.32135497
42289.03 15815.466 0.69524265 -0.3284477
42289.85 15816.159 0.70392866 -0.32303549
42290.67 15816.853 0.70426353 -0.31861472
42291.48 15817.546 0.70252793 -0.3197427
42292.30 15818.239 0.70395703 -0.32185602
42293.11 15818.933 0.70335221 -0.32569841
42293.93 15819.626 0.70733773 -0.32219816
42294.75 15820.320 0.71099851 -0.32270458
42295.56 15821.013 0.71866248 -0.32857093
42296.38 15821.707 0.72485528 -0.32642902
42297.20 15822.400 0.72353168 -0.32395138
42298.01 15823.094 0.72887667 -0.31944163
42298.83 15823.787 0.73145338 -0.31747786
42299.65 15824.481 0.73798589 -0.31734058
42300.46 15825.174 0.73647129 -0.30348559
42301.28 15825.867 0.7351203 -0.29615791
42302.10 15826.561 0.73819655 -0.2804837
42302.92 15827.254 0.72923922 -0.27907021
42303.73 15827.948 0.72663045 -0.2755059
42304.55 15828.641 0.71708615 -0.27880176
42305.37 15829.335 0.71508617 -0.27411025
42306.19 15830.028 0.71292158 -0.27723351
42307.00 15830.722 0.70447169 -0.27750903
42307.82 15831.415 0.70342992 -0.27712275
42308.64 15832.109 0.69939927 -0.2794861
42309.45 15832.802 0.7047492 -0.28935688
42310.27 15833.495 0.7018341 -0.27799126
42311.08 15834.189 0.69963676 -0.28937197
42311.90 15834.882 0.69433173 -0.28267124
42312.71 15835.576 0.6923824 -0.28581755
42313.53 15836.269 0.69323016 -0.28268758
42314.35 15836.963 0.69660615 -0.28496052
42315.17 15837.656 0.68855303 -0.28544019
42315.98 15838.350 0.69119119 -0.28768471
42316.80 15839.043 0.69329116 -0.28942475
42317.61 15839.737 0.68914773 -0.28764015
42318.43 15840.430 0.69232163 -0.28860148
42319.25 15841.124 0.68811454 -0.29472952
42320.06 15841.817 0.69638145 -0.290065
42320.88 15842.510 0.69778173 -0.28857875
42321.69 15843.204 0.69578113 -0.28933027
42322.51 15843.897 0.68980694 -0.28826511
42323.32 15844.591 0.6924738 -0.29848837
42324.14 15845.284 0.69516716 -0.29423103
42324.95 15845.978 0.69035843 -0.29103984
42325.77 15846.671 0.68687632 -0.29364398
42326.59 15847.365 0.69209852 -0.2920672
42327.40 15848.058 0.690852 -0.29331062
42328.22 15848.752 0.69109092 -0.2907706
42329.03 15849.445 0.68998042 -0.29301239
