# Sweep from 15846.459Hz to 15804.130Hz step -0.3527416666666795Hz delay 0.8s
# Excitation 0.001195Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
43114.17 15846.459 1.3373344 -0.2989992
43114.98 15846.106 1.3296105 -0.29713414
43115.80 15845.754 1.3367131 -0.29658875
43116.61 15845.401 1.327246 -0.29748222
43117.43 15845.048 1.3326945 -0.29104189
43118.25 15844.695 1.3311526 -0.29422932
43119.07 15844.343 1.3271049 -0.29362675
43119.88 15843.990 1.3303114 -0.29790559
43120.70 15843.637 1.3310411 -0.29524685
43121.52 15843.284 1.3297047 -0.29388366
43122.34 15842.932 1.3357795 -0.29179799
43123.15 15842.579 1.3357793 -0.29419488
43123.97 15842.226 1.3298866 -0.29618391
43124.78 15841.873 1.3333472 -0.29065419
43125.59 15841.521 1.3318769 -0.29555844
43126.41 15841.168 1.331238 -0.28802165
43127.22 15840.815 1.3348428 -0.29197372
43128.04 15840.462 1.3344942 -0.29586164
43128.86 15840.110 1.3386691 -0.29077972
43129.67 15839.757 1.3331127 -0.29232913
43130.48 15839.404 1.3370568 -0.29116612
43131.30 15839.051 1.3352656 -0.29039745
43132.12 15838.699 1.3361955 -0.29135796
43132.93 15838.346 1.3362705 -0.28932882
43133.75 15837.993 1.3330236 -0.28956757
43134.56 15837.640 1.3330443 -0.2936381
43135.38 15837.288 1.3393067 -0.28655316
43136.20 15836.935 1.3387091 -0.28332113
43137.02 15836.582 1.3387208 -0.28584586
43137.83 15836.229 1.3366308 -0.28788435
43138.65 15835.877 1.3417358 -0.28496382
43139.47 15835.524 1.3411376 -0.28174895
43140.29 15835.171 1.3421744 -0.27782312
43141.11 15834.819 1.3406296 -0.28986838
43141.92 15834.466 1.3424195 -0.28596966
43142.74 15834.113 1.3395876 -0.28116563
43143.55 15833.760 1.3489998 -0.27933038
43144.36 15833.408 1.3464285 -0.2802457
43145.18 15833.055 1.3529029 -0.28301392
43145.99 15832.702 1.3470145 -0.27157748
43146.81 15832.349 1.3516385 -0.27543686
43147.63 15831.997 1.3504695 -0.27423368
43148.44 15831.644 1.3618043 -0.2713038
43149.26 15831.291 1.3620584 -0.27424264
43150.08 15830.938 1.3621806 -0.27498683
43150.90 15830.586 1.3604478 -0.2701513
43151.71 15830.233 1.3647939 -0.27264213
43152.53 15829.880 1.3712371 -0.26869583
43153.35 15829.527 1.3726136 -0.26516554
43154.16 15829.175 1.3760638 -0.26049497
43154.98 15828.822 1.382644 -0.26664742
43155.79 15828.469 1.3850421 -0.26798335
43156.60 15828.116 1.3960472 -0.26175482
43157.42 15827.764 1.3951599 -0.27489205
43158.24 15827.411 1.4053472 -0.27519485
43159.06 15827.058 1.4120294 -0.28077005
43159.87 15826.705 1.4153014 -0.28017286
43160.69 15826.353 1.4207416 -0.28712759
43161.51 15826.000 1.4232274 -0.30269331
43162.32 15825.647 1.4293857 -0.30921316
43163.14 15825.294 1.4288083 -0.32000784
43163.96 15824.942 1.4296294 -0.32805087
43164.77 15824.589 1.4276836 -0.33634862
43165.58 15824.236 1.4217259 -0.34577221
43166.40 15823.884 1.4163642 -0.34521412
43167.21 15823.531 1.4121695 -0.35241666
43168.03 15823.178 1.4063728 -0.3594904
43168.84 15822.825 1.4038309 -0.36474404
43169.66 15822.473 1.3957346 -0.36027942
43170.47 15822.120 1.3915222 -0.36437021
43171.29 15821.767 1.3829678 -0.36382249
43172.11 15821.414 1.3781184 -0.36238649
43172.92 15821.062 1.3764718 -0.36518239
43173.74 15820.709 1.3741109 -0.36315231
43174.56 15820.356 1.3667416 -0.36280252
43175.37 15820.003 1.3656233 -0.36460756
43176.19 15819.651 1.3606664 -0.36164414
43177.01 15819.298 1.3595982 -0.35899689
43177.82 15818.945 1.352862 -0.35784922
43178.64 15818.592 1.3502612 -0.35879464
43179.45 15818.240 1.3533158 -0.35398591
43180.27 15817.887 1.3544396 -0.35701194
43181.08 15817.534 1.351319 -0.35814352
43181.90 15817.181 1.3531045 -0.35680887
43182.72 15816.829 1.3428112 -0.35593746
43183.54 15816.476 1.3438869 -0.35424179
43184.36 15816.123 1.3439202 -0.34864036
43185.17 15815.770 1.3459687 -0.35402024
43185.99 15815.418 1.3383359 -0.35133809
43186.80 15815.065 1.3429875 -0.34757264
43187.62 15814.712 1.336811 -0.34958362
43188.43 15814.360 1.3398286 -0.3519107
43189.25 15814.007 1.3445855 -0.34695424
43190.07 15813.654 1.3433732 -0.35060722
43190.88 15813.301 1.3418138 -0.34493155
43191.69 15812.949 1.3354852 -0.34377967
43192.51 15812.596 1.3410958 -0.3452873
43193.32 15812.243 1.3370196 -0.34706059
43194.14 15811.890 1.3366681 -0.34201366
43194.95 15811.538 1.3379985 -0.34251642
43195.77 15811.185 1.3382307 -0.3441487
43196.59 15810.832 1.3382186 -0.34047844
