# Sweep from 15800.648Hz to 15848.608Hz step 0.39966666666667455Hz delay 0.8s
# Excitation 0.000526Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
45015.46 15800.648 0.5884105 -0.30373454
45016.27 15801.048 0.58131332 -0.30373249
45017.09 15801.447 0.58779762 -0.30951966
45017.91 15801.847 0.58021999 -0.30329619
45018.72 15802.247 0.58461251 -0.29870264
45019.54 15802.646 0.58567122 -0.30659518
45020.36 15803.046 0.59031782 -0.30991384
45021.17 15803.446 0.58237754 -0.30849108
45021.99 15803.845 0.58336445 -0.3042129
45022.81 15804.245 0.58289856 -0.30644935
45023.62 15804.645 0.58723253 -0.30614336
45024.44 15805.044 0.58402696 -0.31545619
45025.26 15805.444 0.57858972 -0.30594128
45026.08 15805.844 0.58640637 -0.30802286
45026.90 15806.243 0.58638193 -0.30594768
45027.71 15806.643 0.58406215 -0.30606921
45028.53 15807.043 0.58435677 -0.30580239
45029.34 15807.442 0.58775584 -0.31135562
45030.16 15807.842 0.5865536 -0.30688881
45030.98 15808.242 0.58548949 -0.30493391
45031.79 15808.641 0.58018691 -0.31152081
45032.61 15809.041 0.58808132 -0.31292024
45033.43 15809.441 0.58772247 -0.31320334
45034.25 15809.840 0.5856254 -0.30904951
45035.06 15810.240 0.58524569 -0.30926418
45035.87 15810.640 0.58522329 -0.31050922
45036.69 15811.039 0.58984153 -0.31336148
45037.51 15811.439 0.58654012 -0.3095258
45038.33 15811.839 0.58411655 -0.31076365
45039.15 15812.238 0.58363207 -0.31215842
45039.96 15812.638 0.58921995 -0.31239557
45040.77 15813.038 0.58566957 -0.3185632
45041.59 15813.437 0.58704285 -0.30709748
45042.41 15813.837 0.58535403 -0.31344635
45043.22 15814.237 0.58975752 -0.31534654
45044.03 15814.636 0.58730899 -0.30958657
45044.85 15815.036 0.58980925 -0.31360705
45045.67 15815.436 0.58770433 -0.31364576
45046.49 15815.835 0.59216893 -0.31459666
45047.30 15816.235 0.59437406 -0.31453067
45048.12 15816.635 0.59571596 -0.31672485
45048.94 15817.034 0.59745469 -0.3243394
45049.75 15817.434 0.5913227 -0.31482389
45050.57 15817.834 0.59576865 -0.31844758
45051.39 15818.233 0.59853039 -0.31169421
45052.20 15818.633 0.59832053 -0.31604193
45053.02 15819.033 0.59176023 -0.31855166
45053.84 15819.432 0.59504174 -0.32007242
45054.65 15819.832 0.59773822 -0.3253304
45055.46 15820.232 0.59783906 -0.32397307
45056.28 15820.631 0.60665792 -0.31728379
45057.09 15821.031 0.60377562 -0.32111771
45057.91 15821.431 0.60660551 -0.32113317
45058.73 15821.830 0.6098349 -0.32698276
45059.54 15822.230 0.60885429 -0.316014
45060.36 15822.630 0.6222495 -0.31733327
45061.17 15823.029 0.62000242 -0.31754212
45061.99 15823.429 0.61573439 -0.30952233
45062.81 15823.829 0.62308817 -0.30449721
45063.63 15824.228 0.61806156 -0.30057339
45064.44 15824.628 0.62298 -0.29619329
45065.26 15825.028 0.62225894 -0.29358151
45066.08 15825.427 0.62611275 -0.29035496
45066.89 15825.827 0.62382321 -0.29295811
45067.71 15826.227 0.61624536 -0.28639744
45068.52 15826.626 0.61740417 -0.28347154
45069.33 15827.026 0.61584035 -0.28112822
45070.15 15827.426 0.61216343 -0.27927754
45070.97 15827.825 0.61209857 -0.27559318
45071.78 15828.225 0.60791018 -0.27816378
45072.60 15828.625 0.60911202 -0.27746276
45073.41 15829.024 0.60462679 -0.28125842
45074.23 15829.424 0.59952896 -0.27699224
45075.04 15829.824 0.59900736 -0.27974235
45075.86 15830.223 0.59186584 -0.28420359
45076.67 15830.623 0.59461576 -0.27819866
45077.49 15831.023 0.59884633 -0.28382149
45078.31 15831.422 0.59621698 -0.27439916
45079.13 15831.822 0.59143946 -0.27952402
45079.95 15832.222 0.58937525 -0.27977629
45080.76 15832.621 0.59012683 -0.28150342
45081.58 15833.021 0.59386485 -0.28730528
45082.39 15833.421 0.59019658 -0.2812364
45083.21 15833.820 0.58802698 -0.28275397
45084.02 15834.220 0.59087768 -0.28477598
45084.84 15834.620 0.5873946 -0.28499451
45085.66 15835.019 0.58840004 -0.28624564
45086.47 15835.419 0.58725522 -0.2824394
45087.29 15835.819 0.58979714 -0.27992391
45088.10 15836.218 0.59032919 -0.28871284
45088.92 15836.618 0.58634367 -0.28469461
45089.74 15837.018 0.58819069 -0.28537434
45090.55 15837.417 0.58401127 -0.28678608
45091.37 15837.817 0.58463934 -0.28236005
45092.18 15838.217 0.58709469 -0.28926456
45093.00 15838.616 0.5876463 -0.28384807
45093.82 15839.016 0.58648914 -0.28418961
45094.63 15839.416 0.59070516 -0.28616483
45095.45 15839.815 0.5901847 -0.28727135
45096.27 15840.215 0.5849837 -0.28940704
45097.08 15840.615 0.58352953 -0.28811971
45097.90 15841.014 0.58683861 -0.29244615
45098.71 15841.414 0.58463161 -0.29115719
45099.53 15841.814 0.58658424 -0.28994714
