# Sweep from 15803.581Hz to 15846.981Hz step 0.36166666666666364Hz delay 0.8s
# Excitation 0.001185Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
65872.05 15803.581 1.3165858 -0.3326264
65872.86 15803.943 1.3147974 -0.33374843
65873.67 15804.304 1.3201245 -0.33608089
65874.49 15804.666 1.3231744 -0.33663886
65875.31 15805.028 1.3233318 -0.33668658
65876.13 15805.389 1.3192541 -0.33773722
65876.94 15805.751 1.3213253 -0.3328403
65877.76 15806.113 1.3147101 -0.33269362
65878.58 15806.474 1.319898 -0.3409921
65879.40 15806.836 1.3179543 -0.34091266
65880.21 15807.198 1.3251528 -0.34056737
65881.02 15807.559 1.3225233 -0.33339617
65881.84 15807.921 1.3166884 -0.33925232
65882.65 15808.283 1.3242992 -0.33862224
65883.47 15808.644 1.3236526 -0.34020684
65884.29 15809.006 1.3232805 -0.33979961
65885.11 15809.368 1.3277669 -0.34112617
65885.92 15809.729 1.3250623 -0.34148567
65886.74 15810.091 1.3159648 -0.34078883
65887.56 15810.453 1.3265833 -0.3416869
65888.37 15810.814 1.3206768 -0.33982136
65889.19 15811.176 1.3221437 -0.33798227
65890.00 15811.538 1.3281714 -0.34465918
65890.82 15811.899 1.3275779 -0.34489651
65891.63 15812.261 1.3234383 -0.34227625
65892.45 15812.623 1.3262438 -0.34621092
65893.27 15812.984 1.3291835 -0.34872116
65894.09 15813.346 1.3228238 -0.35031164
65894.90 15813.708 1.327131 -0.34324529
65895.72 15814.069 1.3306869 -0.34398866
65896.53 15814.431 1.3294214 -0.34983586
65897.35 15814.793 1.3266344 -0.34597534
65898.16 15815.154 1.3297546 -0.35461485
65898.98 15815.516 1.3264396 -0.34609781
65899.79 15815.878 1.3253422 -0.35065989
65900.61 15816.239 1.3328439 -0.3525075
65901.43 15816.601 1.3371016 -0.35109201
65902.25 15816.963 1.3306917 -0.35517596
65903.07 15817.324 1.3349767 -0.35491061
65903.88 15817.686 1.3336972 -0.36138383
65904.70 15818.048 1.3373341 -0.35372372
65905.52 15818.409 1.3383797 -0.35404335
65906.33 15818.771 1.3463938 -0.3592607
65907.15 15819.133 1.3394454 -0.35660071
65907.97 15819.494 1.346511 -0.35914772
65908.78 15819.856 1.3487333 -0.35932015
65909.60 15820.218 1.3571024 -0.36161086
65910.41 15820.579 1.3540559 -0.365636
65911.23 15820.941 1.3551563 -0.36440909
65912.04 15821.303 1.3672893 -0.3658489
65912.86 15821.664 1.3670232 -0.3665136
65913.67 15822.026 1.3686104 -0.36584998
65914.49 15822.388 1.3829595 -0.36321813
65915.30 15822.749 1.3803158 -0.3644989
65916.12 15823.111 1.3933857 -0.36314728
65916.94 15823.473 1.396665 -0.35518818
65917.75 15823.834 1.3971513 -0.34950574
65918.57 15824.196 1.405438 -0.34369532
65919.38 15824.558 1.4159373 -0.33574057
65920.20 15824.919 1.4108582 -0.32826523
65921.02 15825.281 1.4229099 -0.32117481
65921.83 15825.643 1.4241471 -0.30938688
65922.65 15826.004 1.4199778 -0.2948251
65923.47 15826.366 1.4114569 -0.28765288
65924.28 15826.728 1.408758 -0.28096699
65925.10 15827.089 1.3988039 -0.27396936
65925.91 15827.451 1.3940906 -0.27437679
65926.73 15827.813 1.3912677 -0.26817816
65927.54 15828.174 1.3814697 -0.26730993
65928.36 15828.536 1.3720025 -0.27101541
65929.18 15828.898 1.3647145 -0.27260376
65930.00 15829.259 1.3597586 -0.27420629
65930.81 15829.621 1.3611733 -0.26395682
65931.63 15829.983 1.3526978 -0.26507115
65932.44 15830.344 1.3520951 -0.26612065
65933.26 15830.706 1.349485 -0.27117159
65934.07 15831.068 1.3442915 -0.27005214
65934.89 15831.429 1.3401244 -0.27286492
65935.70 15831.791 1.3429747 -0.27619529
65936.52 15832.153 1.3383022 -0.27625293
65937.33 15832.514 1.3351947 -0.27436687
65938.15 15832.876 1.3308841 -0.2744641
65938.96 15833.238 1.3361363 -0.27893066
65939.78 15833.599 1.3320091 -0.28075652
65940.60 15833.961 1.3317244 -0.27986167
65941.41 15834.323 1.3280434 -0.27704931
65942.23 15834.684 1.3250958 -0.2796917
65943.05 15835.046 1.3267227 -0.28259757
65943.87 15835.408 1.3299766 -0.28305686
65944.68 15835.769 1.3273899 -0.28357181
65945.49 15836.131 1.3280714 -0.28204477
65946.31 15836.493 1.3229118 -0.28467431
65947.12 15836.854 1.3228484 -0.29045651
65947.94 15837.216 1.3202173 -0.28507137
65948.76 15837.578 1.3185138 -0.29228519
65949.58 15837.939 1.3241003 -0.2892649
65950.39 15838.301 1.3259868 -0.2887781
65951.20 15838.663 1.3218489 -0.2821873
65952.02 15839.024 1.3231421 -0.28779829
65952.84 15839.386 1.3231302 -0.28790782
65953.65 15839.748 1.3196321 -0.28746766
65954.47 15840.109 1.3212409 -0.28885404
65955.29 15840.471 1.3197347 -0.29672583
65956.11 15840.833 1.3173682 -0.29563196
65956.93 15841.194 1.3209457 -0.2965466
65957.74 15841.556 1.3215191 -0.29548229
65958.56 15841.918 1.3211942 -0.29417492
65959.37 15842.279 1.3253937 -0.29924996
65960.19 15842.641 1.318122 -0.29502053
65961.00 15843.003 1.3226294 -0.29334547
65961.82 15843.364 1.3203193 -0.29780631
65962.64 15843.726 1.3290964 -0.29695079
65963.46 15844.088 1.3192581 -0.2989363
65964.27 15844.449 1.3278162 -0.29727005
65965.08 15844.811 1.3262602 -0.29539311
65965.90 15845.173 1.3209682 -0.29597967
65966.72 15845.534 1.3178806 -0.29544151
65967.53 15845.896 1.3209453 -0.29717268
65968.34 15846.258 1.3210893 -0.29869346
65969.16 15846.619 1.3197339 -0.2984211
65969.98 15846.981 1.3171318 -0.2960636
