# Sweep from 15793.486Hz to 15844.506Hz step 0.42516666666665515Hz delay 0.9s
# Excitation 0.006018Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
15935.64 15793.486 6.7742285 -0.50545594
15936.55 15793.911 6.7733636 -0.5061267
15937.47 15794.336 6.7755973 -0.5073108
15938.38 15794.762 6.7700303 -0.51074124
15939.30 15795.187 6.7774904 -0.50261019
15940.21 15795.612 6.7759447 -0.50986517
15941.13 15796.037 6.7732408 -0.5102151
15942.05 15796.462 6.7679784 -0.51543657
15942.97 15796.887 6.7776737 -0.51099289
15943.88 15797.312 6.7761398 -0.50782262
15944.79 15797.738 6.7811129 -0.50986029
15945.71 15798.163 6.7746132 -0.51553752
15946.63 15798.588 6.7752462 -0.51668837
15947.54 15799.013 6.7762121 -0.5159215
15948.46 15799.438 6.7744754 -0.51161066
15949.38 15799.864 6.7748365 -0.51279142
15950.30 15800.289 6.7748024 -0.51900406
15951.21 15800.714 6.7779024 -0.51482567
15952.13 15801.139 6.7783922 -0.51614171
15953.04 15801.564 6.7803285 -0.51986035
15953.96 15801.989 6.7728415 -0.52157571
15954.87 15802.415 6.7787378 -0.52598244
15955.79 15802.840 6.7805804 -0.52522455
15956.71 15803.265 6.7715846 -0.52360525
15957.62 15803.690 6.7805477 -0.53222152
15958.54 15804.115 6.7776664 -0.53103037
15959.46 15804.540 6.7758192 -0.53067157
15960.37 15804.966 6.7768019 -0.5348677
15961.28 15805.391 6.7804535 -0.53310811
15962.20 15805.816 6.784383 -0.54033046
15963.11 15806.241 6.7757537 -0.54172585
15964.03 15806.666 6.7799192 -0.53695669
15964.95 15807.091 6.78175 -0.54595188
15965.87 15807.516 6.7803148 -0.5431728
15966.78 15807.942 6.7745327 -0.54424731
15967.70 15808.367 6.7808983 -0.54568523
15968.61 15808.792 6.7807778 -0.55370884
15969.53 15809.217 6.7787951 -0.55549464
15970.44 15809.642 6.7855594 -0.55925995
15971.36 15810.068 6.783413 -0.55957833
15972.27 15810.493 6.7840401 -0.55900244
15973.18 15810.918 6.7863461 -0.55936675
15974.10 15811.343 6.7789269 -0.56851428
15975.01 15811.768 6.7820788 -0.56715038
15975.93 15812.193 6.7855872 -0.57750742
15976.85 15812.619 6.7859132 -0.5793554
15977.76 15813.044 6.7893561 -0.58219518
15978.68 15813.469 6.7904089 -0.59009705
15979.59 15813.894 6.7902524 -0.59487206
15980.51 15814.319 6.787996 -0.5946826
15981.42 15814.744 6.7988758 -0.59336804
15982.34 15815.169 6.7960732 -0.60632209
15983.25 15815.595 6.7962615 -0.61561303
15984.17 15816.020 6.7970573 -0.62095529
15985.08 15816.445 6.8033 -0.63207443
15986.00 15816.870 6.8041472 -0.63501159
15986.92 15817.295 6.806968 -0.64578859
15987.83 15817.720 6.8137697 -0.65988428
15988.75 15818.146 6.8186469 -0.67430182
15989.66 15818.571 6.8318282 -0.69126992
15990.58 15818.996 6.8371319 -0.71446038
15991.50 15819.421 6.8481099 -0.74370666
15992.42 15819.846 7.23225 -0.16128475
15993.34 15820.272 7.2110242 -0.092741928
15994.25 15820.697 7.1886589 -0.075041363
15995.17 15821.122 7.1662007 -0.055471876
15996.09 15821.547 7.1451095 -0.036124302
15997.00 15821.972 7.1207014 -0.014460157
15997.92 15822.397 7.0967203 -0.0096433794
15998.83 15822.823 7.0785609 0.0093756238
15999.75 15823.248 7.0499627 0.014927867
16000.66 15823.673 7.0302885 0.01946648
16001.57 15824.098 7.0194683 0.023447955
16002.49 15824.523 7.0018036 0.025650277
16003.41 15824.948 6.9882017 0.025827157
16004.33 15825.373 6.9741204 0.022057373
16005.24 15825.799 6.9690004 0.013279589
16006.16 15826.224 6.9587445 0.0047253907
16007.08 15826.649 6.9474563 -0.005046604
16007.99 15827.074 6.9355442 -0.007955963
16008.91 15827.499 6.9279313 -0.023901812
16009.82 15827.924 6.9122507 -0.036036035
16010.74 15828.350 6.9140588 -0.049455696
16011.66 15828.775 6.9019338 -0.061553479
16012.57 15829.200 6.8922554 -0.070412248
16013.49 15829.625 6.8833147 -0.080766341
16014.41 15830.050 6.8784334 -0.09610423
16015.32 15830.476 6.8740528 -0.11172735
16016.24 15830.901 6.8629024 -0.1193681
16017.16 15831.326 6.8608178 -0.13309035
16018.07 15831.751 6.8503928 -0.14940636
16018.98 15832.176 6.8482732 -0.15378374
16019.90 15832.601 6.8430386 -0.17189913
16020.82 15833.026 6.8379704 -0.17216409
16021.73 15833.452 6.8322456 -0.18897474
16022.64 15833.877 6.8310987 -0.19839871
16023.56 15834.302 6.8213171 -0.20621994
16024.48 15834.727 6.8237273 -0.21254785
16025.39 15835.152 6.8221379 -0.2243295
16026.31 15835.577 6.812973 -0.23557129
16027.23 15836.003 6.8096269 -0.24187926
16028.14 15836.428 6.8090176 -0.23667484
16029.06 15836.853 6.8038844 -0.24878659
16029.97 15837.278 6.803607 -0.25426939
16030.89 15837.703 6.8021236 -0.25730338
16031.80 15838.128 6.8000263 -0.26905536
