# Sweep from 15841.245Hz to 15806.612Hz step -0.2886083333333469Hz delay 0.8s
# Excitation 0.003443Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
78224.37 15841.245 3.8909093 -0.30438554
78225.19 15840.956 3.8890507 -0.30667442
78226.00 15840.668 3.8872913 -0.30335545
78226.82 15840.379 3.8925441 -0.30294348
78227.64 15840.091 3.8947169 -0.2978889
78228.46 15839.802 3.8902899 -0.29655931
78229.28 15839.513 3.8934172 -0.29887008
78230.09 15839.225 3.897132 -0.29985728
78230.91 15838.936 3.8966277 -0.29200919
78231.73 15838.648 3.8977191 -0.28952209
78232.54 15838.359 3.8944304 -0.29102583
78233.36 15838.070 3.8959361 -0.29707277
78234.17 15837.782 3.9002002 -0.28779039
78234.99 15837.493 3.8981393 -0.28521237
78235.81 15837.204 3.8972044 -0.2846707
78236.62 15836.916 3.9036549 -0.28548655
78237.44 15836.627 3.9067363 -0.28224923
78238.25 15836.339 3.9054321 -0.28154429
78239.07 15836.050 3.9044075 -0.27867458
78239.89 15835.761 3.907679 -0.27510146
78240.71 15835.473 3.9088322 -0.27106208
78241.52 15835.184 3.9142997 -0.26899437
78242.34 15834.896 3.9125448 -0.27206173
78243.15 15834.607 3.9192564 -0.26472887
78243.97 15834.318 3.9211559 -0.26802715
78244.78 15834.030 3.9221563 -0.26321257
78245.60 15833.741 3.9273523 -0.25402895
78246.42 15833.453 3.9289944 -0.25768495
78247.23 15833.164 3.9282613 -0.25074283
78248.05 15832.875 3.9342508 -0.25707521
78248.86 15832.587 3.936213 -0.24947701
78249.68 15832.298 3.941821 -0.24146499
78250.49 15832.010 3.9480519 -0.23937866
78251.31 15831.721 3.9464985 -0.23186544
78252.12 15831.432 3.9553934 -0.23448905
78252.94 15831.144 3.9631618 -0.23221276
78253.76 15830.855 3.9608367 -0.22682458
78254.57 15830.566 3.9713932 -0.22035591
78255.39 15830.278 3.9749966 -0.2214399
78256.20 15829.989 3.9842057 -0.22095917
78257.02 15829.701 3.9945048 -0.21476625
78257.84 15829.412 4.0000596 -0.20920885
78258.65 15829.123 4.0077962 -0.20718508
78259.47 15828.835 4.0174814 -0.20360557
78260.28 15828.546 4.0291266 -0.20178562
78261.10 15828.258 4.0298664 -0.20347144
78261.91 15827.969 4.0483874 -0.20018743
78262.73 15827.680 4.0531099 -0.19739736
78263.55 15827.392 4.0670407 -0.19716678
78264.37 15827.103 4.0765635 -0.19921843
78265.19 15826.815 4.0968362 -0.19982953
78266.01 15826.526 4.1025055 -0.2018692
78266.83 15826.237 4.1197768 -0.20409306
78267.64 15825.949 4.1375861 -0.21053613
78268.46 15825.660 4.1456419 -0.21179373
78269.27 15825.372 4.1667577 -0.21385783
78270.09 15825.083 4.1721678 -0.22577075
78270.91 15824.794 4.1920903 -0.2317847
78271.72 15824.506 4.2052066 -0.246654
78272.54 15824.217 4.2207421 -0.25212702
78273.36 15823.928 4.2287747 -0.26682227
78274.17 15823.640 4.2448514 -0.28969887
78274.99 15823.351 4.2486486 -0.30115882
78275.81 15823.063 4.2617125 -0.33148538
78276.63 15822.774 4.2635243 -0.36020828
78277.45 15822.485 4.2616443 -0.40322206
78278.26 15822.197 4.2484789 -0.45458435
78279.07 15821.908 4.1764115 -0.53073836
78279.89 15821.620 4.0832733 -0.5516107
78280.71 15821.331 4.0470136 -0.54933008
78281.52 15821.042 4.017827 -0.5499719
78282.34 15820.754 4.0041568 -0.54771766
78283.16 15820.465 3.9934357 -0.5366341
78283.98 15820.177 3.9823603 -0.53121113
78284.79 15819.888 3.9681636 -0.5264377
78285.61 15819.599 3.9611418 -0.52572238
78286.43 15819.311 3.9557763 -0.51710026
78287.24 15819.022 3.9459196 -0.51923843
78288.06 15818.734 3.9424331 -0.5097495
78288.88 15818.445 3.9395054 -0.50639898
78289.70 15818.156 3.9267197 -0.50004849
78290.51 15817.868 3.9269717 -0.49893947
78291.33 15817.579 3.9283364 -0.49743261
78292.14 15817.291 3.9217425 -0.4935701
78292.96 15817.002 3.9192169 -0.48523714
78293.77 15816.713 3.9178276 -0.48174957
78294.59 15816.425 3.9087204 -0.48229822
78295.40 15816.136 3.908488 -0.48215497
78296.22 15815.847 3.9072461 -0.47863057
78297.04 15815.559 3.908337 -0.47220436
78297.86 15815.270 3.9095753 -0.46629722
78298.67 15814.982 3.90478 -0.47928245
78299.49 15814.693 3.9038896 -0.47040749
78300.30 15814.404 3.9083384 -0.47123532
78301.12 15814.116 3.9015654 -0.4666561
78301.93 15813.827 3.8967901 -0.46307747
78302.75 15813.539 3.8997514 -0.45896539
78303.57 15813.250 3.9014112 -0.45822978
78304.38 15812.961 3.8985413 -0.45873844
78305.20 15812.673 3.8959001 -0.45929187
78306.01 15812.384 3.8959029 -0.45646581
78306.83 15812.096 3.8988787 -0.45276147
78307.65 15811.807 3.8922285 -0.44909677
78308.47 15811.518 3.8911776 -0.45005314
78309.28 15811.230 3.8935063 -0.45673531
78310.10 15810.941 3.8947296 -0.45244306
78310.92 15810.653 3.8948683 -0.44318855
78311.74 15810.364 3.8922067 -0.44596487
78312.55 15810.075 3.8940498 -0.44814956
78313.36 15809.787 3.8899138 -0.44514346
78314.18 15809.498 3.8866879 -0.44386604
78315.00 15809.209 3.888264 -0.43814921
78315.81 15808.921 3.888304 -0.44839629
