# Sweep from 15803.484Hz to 15847.193Hz step 0.3642416666666577Hz delay 0.8s
# Excitation 0.001452Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
68638.99 15803.484 1.6126304 -0.34400071
68639.81 15803.848 1.6139369 -0.3481677
68640.62 15804.212 1.6155708 -0.34182284
68641.44 15804.577 1.6164601 -0.34861327
68642.26 15804.941 1.609088 -0.34873571
68643.08 15805.305 1.6142208 -0.34202
68643.89 15805.669 1.6161965 -0.35124356
68644.71 15806.034 1.6116464 -0.34376558
68645.53 15806.398 1.6108099 -0.34367326
68646.34 15806.762 1.6180686 -0.34868904
68647.16 15807.126 1.6182781 -0.34705741
68647.98 15807.491 1.6212972 -0.34528708
68648.79 15807.855 1.6160052 -0.34793587
68649.61 15808.219 1.6214594 -0.35188185
68650.43 15808.583 1.6168113 -0.35169947
68651.24 15808.948 1.6163734 -0.35006192
68652.05 15809.312 1.6178777 -0.3575513
68652.87 15809.676 1.6202554 -0.35052977
68653.68 15810.040 1.6178872 -0.36003851
68654.50 15810.405 1.621155 -0.35458746
68655.31 15810.769 1.616233 -0.35614539
68656.13 15811.133 1.6178892 -0.35496535
68656.95 15811.497 1.620097 -0.35438006
68657.77 15811.862 1.6201609 -0.35367432
68658.58 15812.226 1.618061 -0.35629918
68659.40 15812.590 1.6236899 -0.36023761
68660.22 15812.954 1.6261661 -0.35952601
68661.03 15813.319 1.6177207 -0.35869826
68661.85 15813.683 1.6279653 -0.36373274
68662.66 15814.047 1.6279073 -0.36298604
68663.48 15814.411 1.6222352 -0.3563388
68664.30 15814.775 1.6259219 -0.36111379
68665.12 15815.140 1.6241867 -0.36193833
68665.93 15815.504 1.6226942 -0.36684455
68666.75 15815.868 1.6322897 -0.3655835
68667.57 15816.232 1.6376681 -0.36600733
68668.38 15816.597 1.6356958 -0.36957394
68669.20 15816.961 1.6305723 -0.36488194
68670.02 15817.325 1.6387339 -0.36884308
68670.83 15817.689 1.6347939 -0.37590357
68671.65 15818.054 1.6364473 -0.37789243
68672.46 15818.418 1.6407844 -0.37411641
68673.28 15818.782 1.6496341 -0.37109734
68674.10 15819.146 1.6371715 -0.38327872
68674.91 15819.511 1.6532225 -0.37686402
68675.73 15819.875 1.6528526 -0.37384214
68676.55 15820.239 1.6560523 -0.38237116
68677.37 15820.603 1.657824 -0.38188836
68678.19 15820.968 1.6660787 -0.38701373
68679.00 15821.332 1.672231 -0.38588615
68679.82 15821.696 1.6731511 -0.38401961
68680.64 15822.060 1.6819033 -0.38264582
