# Sweep from 15846.642Hz to 15804.091Hz step -0.3545916666666623Hz delay 0.8s
# Excitation 0.001380Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
67552.06 15846.642 1.5329101 -0.30288658
67552.87 15846.287 1.5368424 -0.29760048
67553.69 15845.933 1.5317049 -0.29852976
67554.51 15845.578 1.537695 -0.30101231
67555.32 15845.224 1.5335229 -0.30191362
67556.14 15844.869 1.5370832 -0.29585695
67556.96 15844.514 1.5405673 -0.3025319
67557.77 15844.160 1.5350553 -0.29681416
67558.59 15843.805 1.5313618 -0.29778508
67559.40 15843.451 1.5355196 -0.29245197
67560.22 15843.096 1.5400381 -0.29819967
67561.04 15842.741 1.5383853 -0.28917844
67561.85 15842.387 1.5374869 -0.29763765
67562.67 15842.032 1.5377705 -0.29087153
67563.49 15841.678 1.5409232 -0.29922163
67564.30 15841.323 1.5350945 -0.29690864
67565.12 15840.969 1.5379967 -0.29458488
67565.94 15840.614 1.5388603 -0.29454065
67566.75 15840.259 1.5383786 -0.30019612
67567.56 15839.905 1.5398879 -0.28859131
67568.38 15839.550 1.5367231 -0.29118482
67569.19 15839.196 1.5403452 -0.28784467
67570.01 15838.841 1.5411209 -0.28753774
67570.83 15838.486 1.5420401 -0.29136291
67571.65 15838.132 1.5406822 -0.29191273
67572.46 15837.777 1.5429326 -0.28810354
67573.27 15837.423 1.5439859 -0.28402454
67574.09 15837.068 1.5397568 -0.28462608
67574.90 15836.713 1.546587 -0.28637979
67575.72 15836.359 1.5436157 -0.28584492
67576.54 15836.004 1.5443198 -0.28052858
67577.35 15835.650 1.5454348 -0.28181199
67578.17 15835.295 1.5431583 -0.28011766
67578.99 15834.940 1.5447072 -0.28249545
67579.80 15834.586 1.549134 -0.27742993
67580.62 15834.231 1.5487204 -0.28051383
67581.43 15833.877 1.5540287 -0.2763467
67582.25 15833.522 1.554998 -0.27290181
67583.07 15833.168 1.5592422 -0.27217976
67583.88 15832.813 1.5556872 -0.27343341
67584.70 15832.458 1.5572124 -0.27836219
67585.52 15832.104 1.5582722 -0.26945943
67586.34 15831.749 1.5637215 -0.26980672
67587.15 15831.395 1.5747845 -0.27109758
67587.97 15831.040 1.5702018 -0.27203359
67588.79 15830.685 1.5724254 -0.2666344
67589.61 15830.331 1.5730351 -0.26663662
67590.42 15829.976 1.5789112 -0.26183369
67591.24 15829.622 1.5908329 -0.26289061
67592.06 15829.267 1.5886653 -0.26319177
67592.87 15828.912 1.59623 -0.26065248
67593.69 15828.558 1.6006725 -0.2600265
67594.50 15828.203 1.6122244 -0.26352663
67595.32 15827.849 1.620542 -0.26385703
67596.14 15827.494 1.6250168 -0.26866957
67596.95 15827.139 1.6325715 -0.2723099
67597.77 15826.785 1.639058 -0.27905895
67598.59 15826.430 1.6469737 -0.2893924
67599.40 15826.076 1.6564751 -0.29218634
