# Sweep from 15846.642Hz to 15804.091Hz step -0.3545916666666623Hz delay 0.8s
# Excitation 0.001380Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
67947.33 15846.642 1.537074 -0.29586829
67948.15 15846.287 1.5394222 -0.30135487
67948.97 15845.933 1.5355827 -0.29477593
67949.79 15845.578 1.5347279 -0.29721357
67950.60 15845.224 1.5388349 -0.300133
67951.42 15844.869 1.5321601 -0.29450896
67952.24 15844.514 1.538693 -0.29796192
67953.05 15844.160 1.5363138 -0.29653896
67953.87 15843.805 1.5374967 -0.30014147
67954.68 15843.451 1.5295058 -0.29438863
67955.50 15843.096 1.5434946 -0.29565567
67956.32 15842.741 1.5350149 -0.29488467
67957.13 15842.387 1.5420432 -0.29374667
67957.95 15842.032 1.5366435 -0.29078225
67958.76 15841.678 1.5416201 -0.29104393
67959.58 15841.323 1.5417529 -0.28643998
67960.39 15840.969 1.5390248 -0.2931524
67961.21 15840.614 1.5428204 -0.29917919
67962.02 15840.259 1.5418059 -0.29731277
67962.84 15839.905 1.5462145 -0.29447952
67963.66 15839.550 1.549597 -0.29629311
67964.48 15839.196 1.5462128 -0.29332557
67965.30 15838.841 1.544273 -0.29206211
67966.12 15838.486 1.5439875 -0.28747428
67966.93 15838.132 1.540135 -0.29063338
67967.75 15837.777 1.5434433 -0.29133903
67968.56 15837.423 1.5383375 -0.28860597
67969.38 15837.068 1.5444294 -0.28692907
67970.19 15836.713 1.5420437 -0.28686168
67971.01 15836.359 1.5439413 -0.28521279
67971.83 15836.004 1.5490505 -0.28403821
67972.65 15835.650 1.5447422 -0.27846832
67973.46 15835.295 1.5483461 -0.28689439
67974.28 15834.940 1.5463974 -0.27966317
67975.10 15834.586 1.5518727 -0.28233094
67975.92 15834.231 1.5501432 -0.2811058
67976.73 15833.877 1.5542366 -0.27626211
67977.55 15833.522 1.5610041 -0.27248726
67978.36 15833.168 1.5585113 -0.27142426
67979.18 15832.813 1.5547813 -0.27503188
67979.99 15832.458 1.5598072 -0.27363816
67980.81 15832.104 1.5648692 -0.27202219
67981.63 15831.749 1.5667557 -0.27569413
67982.45 15831.395 1.5658634 -0.2728398
67983.26 15831.040 1.5746862 -0.26762365
67984.08 15830.685 1.5727215 -0.26685478
67984.89 15830.331 1.5786583 -0.25858512
67985.71 15829.976 1.5762932 -0.26069591
67986.52 15829.622 1.5866044 -0.26343022
67987.34 15829.267 1.5908017 -0.26068858
67988.16 15828.912 1.5962017 -0.2595246
67988.97 15828.558 1.6003929 -0.2584716
67989.79 15828.203 1.6109825 -0.26248964
67990.61 15827.849 1.6237342 -0.2626187
67991.42 15827.494 1.6210747 -0.26554221
67992.24 15827.139 1.626124 -0.2745102
67993.05 15826.785 1.6391097 -0.28352454
67993.86 15826.430 1.6438229 -0.29055593
67994.68 15826.076 1.6521554 -0.29430734
67995.50 15825.721 1.6583498 -0.31479789
67996.31 15825.367 1.6546512 -0.31669046
67997.13 15825.012 1.6569378 -0.32938624
67997.95 15824.657 1.649805 -0.34166797
67998.76 15824.303 1.6538338 -0.35460494
67999.58 15823.948 1.6424812 -0.35875178
68000.40 15823.594 1.6352452 -0.37031211
68001.22 15823.239 1.6275499 -0.37416788
68002.03 15822.884 1.6147692 -0.37755859
68002.84 15822.530 1.6097398 -0.37865067
68003.66 15822.175 1.5995927 -0.38796551
68004.47 15821.821 1.5947155 -0.37495712
68005.29 15821.466 1.5913237 -0.37907765
68006.10 15821.111 1.5835085 -0.37884681
68006.92 15820.757 1.5812974 -0.37950474
68007.74 15820.402 1.5795731 -0.37788001
68008.55 15820.048 1.5714729 -0.37948499
68009.37 15819.693 1.5645458 -0.38058565
68010.18 15819.338 1.5653196 -0.37478819
68010.99 15818.984 1.5642423 -0.36938738
68011.81 15818.629 1.5660971 -0.37512103
68012.62 15818.275 1.5605967 -0.3770574
68013.44 15817.920 1.5604027 -0.37119534
68014.26 15817.565 1.5575778 -0.36694948
68015.07 15817.211 1.5512838 -0.36413448
