# Sweep from 15848.209Hz to 15802.385Hz step -0.6546285714285789Hz delay 0.8s
# Excitation 0.000300Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
40527.98 15848.209 5.9233953 -0.34497293
40528.79 15847.554 5.9235772 -0.34156517
40529.61 15846.900 5.9231088 -0.34248023
40530.43 15846.245 5.9278568 -0.33067599
40531.24 15845.590 5.9284021 -0.33991554
40532.06 15844.936 5.9265935 -0.33272653
40532.88 15844.281 5.9250497 -0.32958937
40533.69 15843.627 5.929588 -0.32250648
40534.51 15842.972 5.9289564 -0.32354222
40535.33 15842.317 5.9327949 -0.32736315
40536.15 15841.663 5.9349672 -0.32436876
40536.97 15841.008 5.9295799 -0.30972484
40537.78 15840.353 5.9401391 -0.31131131
40538.60 15839.699 5.9426543 -0.30409129
40539.41 15839.044 5.9469376 -0.30433873
40540.23 15838.390 5.9432737 -0.29384563
40541.05 15837.735 5.9461727 -0.29540882
40541.86 15837.080 5.9481945 -0.28964539
40542.68 15836.426 5.9573222 -0.28148349
40543.50 15835.771 5.9619861 -0.27097067
40544.32 15835.116 5.9618201 -0.26209926
40545.13 15834.462 5.9710346 -0.26002422
40545.95 15833.807 5.9770596 -0.24607297
40546.77 15833.153 5.9841113 -0.24445367
40547.58 15832.498 5.9974004 -0.23167995
40548.40 15831.843 6.0087636 -0.21807701
40549.21 15831.189 6.0158604 -0.21228054
40550.03 15830.534 6.0289426 -0.20149857
40550.84 15829.879 6.0419065 -0.18746684
40551.66 15829.225 6.0620573 -0.17865857
40552.47 15828.570 6.0773023 -0.17222169
40553.29 15827.916 6.0985021 -0.1598938
40554.10 15827.261 6.1169549 -0.14134704
40554.92 15826.606 6.1416404 -0.14049577
40555.73 15825.952 6.1613482 -0.12781217
40556.54 15825.297 6.1908854 -0.1191062
40557.36 15824.642 6.2235572 -0.11969016
40558.17 15823.988 6.2440204 -0.11717379
40558.99 15823.333 6.2675235 -0.11875656
40559.81 15822.678 6.2972963 -0.1221739
40560.62 15822.024 6.3215261 -0.13424548
40561.44 15821.369 6.3482075 -0.15235806
40562.26 15820.715 6.3743164 -0.18033757
40563.07 15820.060 6.4034275 -0.21957729
40563.89 15819.405 6.4221595 -0.27649551
40564.70 15818.751 6.4415117 -0.32722187
40565.52 15818.096 6.456246 -0.41972407
40566.34 15817.441 6.39574 -0.62718448
40567.15 15816.787 5.9834429 -0.60394831
40567.96 15816.132 5.9698518 -0.59090803
40568.78 15815.478 5.966222 -0.58651875
40569.60 15814.823 5.9530348 -0.57337559
40570.41 15814.168 5.9504987 -0.56621991
40571.23 15813.514 5.9570361 -0.55378553
40572.05 15812.859 5.94416 -0.5513632
40572.87 15812.204 5.9446429 -0.54814069
40573.68 15811.550 5.9387644 -0.53997877
40574.50 15810.895 5.9305444 -0.52809281
40575.31 15810.241 5.9385238 -0.53387197
40576.13 15809.586 5.9366657 -0.52339027
40576.95 15808.931 5.935347 -0.51639
40577.77 15808.277 5.9294957 -0.52360991
40578.58 15807.622 5.9295003 -0.51496403
40579.40 15806.967 5.9253985 -0.51400781
40580.21 15806.313 5.9260001 -0.51223515
40581.03 15805.658 5.9225863 -0.50736963
40581.84 15805.004 5.9209947 -0.50379811
40582.66 15804.349 5.9293779 -0.50612698
40583.47 15803.694 5.9243639 -0.50373194
40584.29 15803.040 5.9205595 -0.49956651
40585.11 15802.385 5.9274657 -0.50011158
