# Sweep from 32354.226Hz to 32354.544Hz step 0.007950000000073487Hz delay 14s
# Excitation 0.010000Vpp attenuator 40 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
44516.50 32354.226 0.157343 -0.382899
44530.54 32354.234 0.167348 -0.379261
44544.57 32354.242 0.171895 -0.412003
44558.61 32354.250 0.1819 -0.412003
44572.64 32354.258 0.192814 -0.439288
44586.67 32354.266 0.209185 -0.460206
44600.70 32354.274 0.231922 -0.477488
44614.74 32354.282 0.253751 -0.497497
44628.77 32354.290 0.271941 -0.52751
44642.81 32354.298 0.298316 -0.573895
44656.84 32354.305 0.340153 -0.585718
44670.87 32354.313 0.379261 -0.616641
44684.90 32354.321 0.428374 -0.642107
44698.94 32354.329 0.525691 -0.683944
44712.97 32354.337 0.592085 -0.689401
44727.00 32354.345 0.720323 -0.700314
44741.04 32354.353 0.85311 -0.683034
44755.07 32354.361 1.00682 -0.599361
44769.10 32354.369 1.14779 -0.470212
44783.13 32354.377 1.26966 -0.262846
44797.17 32354.385 1.27785 -0.0391085
44811.20 32354.393 1.20327 0.18099
44825.23 32354.401 1.05229 0.351067
44839.26 32354.409 0.895856 0.429283
44853.29 32354.417 0.749427 0.469303
44867.33 32354.425 0.623917 0.461116
44881.36 32354.433 0.543881 0.45293
44895.39 32354.441 0.462935 0.425645
44909.42 32354.449 0.403817 0.407455
44923.45 32354.457 0.343791 0.368347
44937.48 32354.465 0.301954 0.3447
44951.52 32354.472 0.279217 0.320144
44965.55 32354.480 0.257389 0.30923
44979.58 32354.488 0.23738 0.266484
44993.61 32354.496 0.231922 0.261936
45007.64 32354.504 0.211913 0.247384
45021.67 32354.512 0.211004 0.230103
45035.71 32354.520 0.203728 0.206456
45049.74 32354.528 0.18099 0.19918
45063.77 32354.536 0.164619 0.185538
45077.80 32354.544 0.169167 0.175533
