# Sweep from 15803.299Hz to 15847.416Hz step 0.3676416666666531Hz delay 0.9s
# Excitation 0.001207Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
39439.17 15803.299 1.3403794 -0.33333106
39440.08 15803.667 1.3403362 -0.33087326
39441.00 15804.034 1.3416176 -0.33353706
39441.92 15804.402 1.335653 -0.3377848
39442.84 15804.770 1.347052 -0.33948794
39443.75 15805.137 1.346378 -0.33947154
39444.67 15805.505 1.3510593 -0.33544433
39445.59 15805.872 1.346748 -0.33702071
39446.50 15806.240 1.3491549 -0.33239655
39447.42 15806.608 1.3404205 -0.3401407
39448.34 15806.975 1.3444123 -0.33861141
39449.25 15807.343 1.3443436 -0.33839021
39450.17 15807.711 1.3496257 -0.34065391
39451.09 15808.078 1.3480175 -0.34139697
39452.00 15808.446 1.3438263 -0.34512513
39452.91 15808.814 1.3444579 -0.34253713
39453.83 15809.181 1.3508457 -0.33702133
39454.74 15809.549 1.3429436 -0.34321505
39455.66 15809.917 1.3513264 -0.33562912
39456.58 15810.284 1.3504668 -0.34472097
39457.49 15810.652 1.3430138 -0.34081467
39458.41 15811.019 1.342073 -0.3470274
39459.32 15811.387 1.3533108 -0.34162005
39460.24 15811.755 1.3508792 -0.34006794
39461.16 15812.122 1.3498484 -0.34673255
39462.07 15812.490 1.3466495 -0.33950022
39462.99 15812.858 1.350382 -0.3460712
39463.91 15813.225 1.3536182 -0.34257116
39464.83 15813.593 1.3519749 -0.34879747
39465.74 15813.961 1.3558051 -0.34326425
39466.66 15814.328 1.3567726 -0.3504108
39467.57 15814.696 1.3522006 -0.34957202
39468.49 15815.064 1.3541867 -0.34987596
39469.41 15815.431 1.3536414 -0.35406475
39470.33 15815.799 1.3580781 -0.35236411
39471.24 15816.166 1.3499877 -0.35130591
39472.16 15816.534 1.3590377 -0.35412972
39473.07 15816.902 1.3545825 -0.35658249
39473.99 15817.269 1.3636075 -0.36027714
39474.91 15817.637 1.364074 -0.35810268
39475.83 15818.005 1.3637615 -0.35759837
39476.74 15818.372 1.3702588 -0.36263191
39477.66 15818.740 1.3666969 -0.35930364
39478.58 15819.108 1.374555 -0.3598162
39479.49 15819.475 1.3750677 -0.36287997
39480.41 15819.843 1.3743402 -0.3621677
39481.32 15820.211 1.3804002 -0.36613579
39482.24 15820.578 1.3853086 -0.36597802
39483.16 15820.946 1.3876387 -0.36898967
39484.07 15821.313 1.3910457 -0.36596612
