# Sweep from 15804.260Hz to 15840.078Hz step 0.2984833333333275Hz delay 0.8s
# Excitation 0.004669Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
82079.24 15804.260 5.2566952 -0.47798164
82080.06 15804.558 5.255245 -0.47973941
82080.87 15804.857 5.2542432 -0.47731515
82081.69 15805.155 5.2604728 -0.48093926
82082.51 15805.454 5.2572977 -0.4843381
82083.32 15805.752 5.2579226 -0.48622098
82084.14 15806.051 5.2565856 -0.48440165
82084.96 15806.349 5.261476 -0.48415615
82085.77 15806.648 5.258381 -0.48861949
82086.59 15806.946 5.2571204 -0.48645336
82087.40 15807.245 5.2551923 -0.48839013
82088.22 15807.543 5.2580713 -0.49115329
82089.03 15807.842 5.2549758 -0.4883106
82089.85 15808.140 5.266058 -0.48632165
82090.67 15808.439 5.2585629 -0.49260683
82091.48 15808.737 5.2632572 -0.49617068
82092.30 15809.036 5.2618107 -0.498215
82093.12 15809.334 5.2625805 -0.49619393
82093.94 15809.633 5.2635901 -0.49854452
82094.75 15809.931 5.264862 -0.50025471
82095.57 15810.230 5.2652349 -0.50420385
82096.39 15810.528 5.2658415 -0.50489075
82097.21 15810.827 5.2642654 -0.50621537
82098.03 15811.125 5.2683049 -0.50508879
82098.84 15811.424 5.2675641 -0.50979185
82099.66 15811.722 5.2711862 -0.51360308
82100.47 15812.021 5.2707669 -0.51123408
82101.29 15812.319 5.2717596 -0.51679859
82102.11 15812.618 5.2711407 -0.51365782
82102.93 15812.916 5.2753817 -0.51910206
82103.74 15813.215 5.2762866 -0.52021255
82104.55 15813.513 5.2706541 -0.5233552
82105.37 15813.811 5.2829296 -0.525708
82106.19 15814.110 5.2808205 -0.53187381
82107.00 15814.408 5.2825708 -0.53635438
82107.82 15814.707 5.2783639 -0.53459132
82108.63 15815.005 5.2862779 -0.54208869
82109.45 15815.304 5.2855307 -0.53868285
82110.26 15815.602 5.2948981 -0.54865541
82111.08 15815.901 5.2926034 -0.54875181
82111.90 15816.199 5.296481 -0.55272659
82112.72 15816.498 5.3010358 -0.55538715
82113.54 15816.796 5.3050053 -0.56206045
82114.35 15817.095 5.3093204 -0.57017326
82115.17 15817.393 5.3097338 -0.56891173
82115.99 15817.692 5.3190279 -0.57700845
82116.80 15817.990 5.3271483 -0.57916623
82117.62 15818.289 5.3250578 -0.58553945
82118.43 15818.587 5.332543 -0.59302266
82119.25 15818.886 5.3503359 -0.60560325
82120.06 15819.184 5.3629428 -0.61803451
82120.88 15819.483 5.3791591 -0.62393656
82121.70 15819.781 5.3998992 -0.63641789
82122.51 15820.080 5.4307375 -0.65162368
82123.33 15820.378 5.5842374 -0.63004927
82124.15 15820.677 5.730235 -0.24270423
82124.96 15820.975 5.7184484 -0.22761435
82125.77 15821.274 5.7076622 -0.20698211
82126.59 15821.572 5.6903609 -0.20001995
82127.40 15821.871 5.6797926 -0.18530258
82128.22 15822.169 5.6704653 -0.17350511
82129.03 15822.467 5.6578992 -0.16937379
82129.85 15822.766 5.6455128 -0.16051754
82130.67 15823.064 5.6320455 -0.15525433
82131.48 15823.363 5.6163517 -0.1524236
82132.30 15823.661 5.6030708 -0.14897731
82133.12 15823.960 5.5954056 -0.13923521
82133.93 15824.258 5.5814539 -0.14378227
82134.75 15824.557 5.5645842 -0.14203295
82135.57 15824.855 5.5549535 -0.14211538
82136.39 15825.154 5.5392716 -0.14043219
82137.20 15825.452 5.5252681 -0.14169575
