# Sweep from 15808.669Hz to 15837.895Hz step 0.41751428571429383Hz delay 0.9s
# Excitation 0.001703Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
33960.65 15808.669 1.8961841 -0.36193586
33961.57 15809.087 1.8987988 -0.36343863
33962.49 15809.504 1.894311 -0.36698825
33963.41 15809.922 1.8937299 -0.3623893
33964.32 15810.339 1.8979981 -0.36262588
33965.24 15810.757 1.8939764 -0.3684857
33966.16 15811.174 1.8949784 -0.36114784
33967.07 15811.592 1.8944228 -0.37310372
33967.99 15812.009 1.9003014 -0.36457675
33968.90 15812.427 1.9025616 -0.3653835
33969.82 15812.844 1.8976815 -0.36774944
33970.74 15813.262 1.8958119 -0.37341709
33971.65 15813.679 1.8929362 -0.37395316
33972.57 15814.097 1.8978744 -0.37044182
33973.49 15814.514 1.8998637 -0.3753282
33974.41 15814.932 1.9004607 -0.3744488
33975.33 15815.349 1.8970921 -0.37741236
33976.24 15815.767 1.9016881 -0.38282963
33977.16 15816.184 1.8998783 -0.3812699
33978.07 15816.602 1.906114 -0.37755945
33978.99 15817.019 1.9039815 -0.38413714
33979.90 15817.437 1.9011344 -0.38385741
33980.82 15817.854 1.9048596 -0.3931433
33981.73 15818.272 1.9100987 -0.38667497
33982.65 15818.689 1.9043512 -0.38568515
33983.57 15819.107 1.9074034 -0.39685546
33984.48 15819.524 1.9113472 -0.39776913
33985.40 15819.942 1.910272 -0.40048397
33986.31 15820.359 1.9176491 -0.40811582
33987.23 15820.777 1.9115553 -0.40832924
33988.15 15821.194 1.9179799 -0.40781961
33989.06 15821.612 1.9189249 -0.41603761
33989.98 15822.029 1.9238853 -0.42646462
33990.90 15822.447 1.9370689 -0.43279778
33991.82 15822.864 1.9405959 -0.44158239
33992.73 15823.282 1.9472811 -0.44480515
33993.65 15823.700 1.9588601 -0.45694597
33994.56 15824.117 1.9798667 -0.4632893
33995.48 15824.535 2.0168825 -0.48416388
33996.40 15824.952 2.1097947 -0.47412419
33997.31 15825.370 2.2329195 -0.26727679
33998.23 15825.787 2.2009972 -0.22577035
33999.14 15826.205 2.1849428 -0.20978618
34000.06 15826.622 2.1505825 -0.19548663
34000.98 15827.040 2.125618 -0.17945752
34001.89 15827.457 2.0893781 -0.1742597
34002.81 15827.875 2.0641717 -0.16875219
34003.73 15828.292 2.0533851 -0.16857859
34004.64 15828.710 2.0218347 -0.1738947
34005.56 15829.127 2.0071654 -0.17553691
34006.48 15829.545 1.9868037 -0.18775765
34007.40 15829.962 1.9729669 -0.19468585
34008.31 15830.380 1.9606448 -0.20595371
34009.23 15830.797 1.9514478 -0.21023583
34010.15 15831.215 1.9396248 -0.21753473
34011.06 15831.632 1.9336267 -0.22939429
34011.97 15832.050 1.93044 -0.23537748
34012.89 15832.467 1.9248789 -0.2454328
34013.80 15832.885 1.9141582 -0.25184218
34014.72 15833.302 1.9171487 -0.25471405
34015.63 15833.720 1.9106167 -0.25460486
34016.55 15834.137 1.913015 -0.25795907
34017.47 15834.555 1.9065823 -0.26817972
34018.38 15834.972 1.9003515 -0.26778221
34019.30 15835.390 1.8995456 -0.2750181
34020.22 15835.807 1.9060089 -0.27630355
34021.13 15836.225 1.901973 -0.27212988
34022.05 15836.642 1.8985636 -0.27864456
34022.96 15837.060 1.8972434 -0.28089988
34023.88 15837.477 1.9038495 -0.28029643
34024.79 15837.895 1.898884 -0.27901817
