# Sweep from 15845.968Hz to 15804.733Hz step -0.34362500000000484Hz delay 0.8s
# Excitation 0.001691Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
70318.69 15845.968 1.8845165 -0.30368489
70319.51 15845.624 1.8830135 -0.30244445
70320.33 15845.281 1.8874496 -0.30042753
70321.14 15844.937 1.8837333 -0.30130533
70321.96 15844.594 1.87859 -0.29683244
70322.78 15844.250 1.8827072 -0.30473959
70323.59 15843.906 1.8853425 -0.30330352
70324.41 15843.563 1.882502 -0.30147547
70325.22 15843.219 1.8854419 -0.29480506
70326.04 15842.875 1.8855161 -0.30324449
70326.86 15842.532 1.8853456 -0.29875716
70327.67 15842.188 1.8801184 -0.3008883
70328.49 15841.845 1.8918849 -0.29952892
70329.30 15841.501 1.8793249 -0.29637081
70330.12 15841.157 1.8855463 -0.29624005
70330.94 15840.814 1.8884593 -0.29262418
70331.75 15840.470 1.8828142 -0.29412291
70332.57 15840.126 1.8928598 -0.28881234
70333.38 15839.783 1.88229 -0.29457476
70334.20 15839.439 1.887842 -0.2949443
70335.01 15839.096 1.8864666 -0.29487941
70335.83 15838.752 1.8950913 -0.28962796
70336.65 15838.408 1.8964221 -0.29501351
70337.47 15838.065 1.8827932 -0.29070483
70338.29 15837.721 1.8930427 -0.2849072
70339.10 15837.377 1.8904935 -0.28056789
70339.92 15837.034 1.893497 -0.28401513
70340.73 15836.690 1.8918544 -0.29183266
70341.55 15836.347 1.8966704 -0.28123569
70342.37 15836.003 1.8933832 -0.28344763
70343.19 15835.659 1.8945187 -0.27618563
70344.00 15835.316 1.9019125 -0.28197942
70344.82 15834.972 1.8995086 -0.27891747
70345.64 15834.628 1.8979963 -0.28151325
70346.46 15834.285 1.901691 -0.28108224
70347.27 15833.941 1.9018065 -0.2774097
70348.08 15833.597 1.9005703 -0.28177092
70348.90 15833.254 1.9107461 -0.27487516
70349.71 15832.910 1.9114341 -0.27059326
70350.53 15832.567 1.9171143 -0.2715712
70351.34 15832.223 1.9134193 -0.27158981
70352.16 15831.879 1.9171412 -0.26697793
70352.97 15831.536 1.9180441 -0.26448285
70353.79 15831.192 1.919781 -0.26262629
70354.61 15830.849 1.9244396 -0.26160333
70355.42 15830.505 1.9283648 -0.25667273
70356.23 15830.161 1.9343227 -0.259724
70357.05 15829.818 1.9434956 -0.25719007
70357.86 15829.474 1.9521603 -0.25821504
70358.68 15829.130 1.9559991 -0.25714942
70359.50 15828.787 1.9603299 -0.25212137
70360.32 15828.443 1.9694912 -0.25306545
70361.13 15828.100 1.9779088 -0.25462472
70361.94 15827.756 1.980367 -0.25637246
70362.76 15827.412 1.9961863 -0.25955322
70363.57 15827.069 2.0023469 -0.26729711
70364.39 15826.725 2.0116584 -0.27857325
70365.21 15826.381 2.0192292 -0.28552472
70366.02 15826.038 2.0277801 -0.29596046
70366.84 15825.694 2.0360051 -0.30859471
70367.66 15825.351 2.0392381 -0.31541728
70368.48 15825.007 2.036624 -0.34041722
70369.29 15824.663 2.0314869 -0.35384411
70370.11 15824.320 2.0229695 -0.36797493
70370.92 15823.976 2.0179471 -0.38397428
70371.74 15823.632 2.0024838 -0.39067578
70372.55 15823.289 1.9931852 -0.39841373
70373.37 15822.945 1.9823626 -0.39992145
70374.19 15822.602 1.9755389 -0.40168911
70375.00 15822.258 1.9688009 -0.40365876
70375.82 15821.914 1.9551771 -0.40318872
70376.63 15821.571 1.9530855 -0.40316343
70377.45 15821.227 1.9381432 -0.40511799
70378.26 15820.883 1.9375336 -0.39649927
70379.08 15820.540 1.9361869 -0.40096342
70379.90 15820.196 1.9304011 -0.3995539
70380.72 15819.853 1.9278316 -0.39782773
70381.53 15819.509 1.9230783 -0.39567857
70382.35 15819.165 1.9159347 -0.39390054
70383.16 15818.822 1.9130039 -0.38835518
70383.98 15818.478 1.9132976 -0.38729189
70384.80 15818.134 1.9099932 -0.38776597
70385.61 15817.791 1.9119334 -0.38380279
70386.43 15817.447 1.9111003 -0.39058247
70387.24 15817.104 1.9097802 -0.38242163
70388.06 15816.760 1.9023732 -0.38345996
70388.87 15816.416 1.9054714 -0.37742686
70389.69 15816.073 1.9073292 -0.38231133
70390.50 15815.729 1.904902 -0.37142993
70391.32 15815.385 1.8998704 -0.38047995
70392.13 15815.042 1.8950622 -0.37709057
70392.95 15814.698 1.8965292 -0.37579125
70393.77 15814.354 1.8881406 -0.3724254
70394.58 15814.011 1.8978739 -0.3733366
70395.40 15813.667 1.8946787 -0.37236742
70396.21 15813.324 1.8931655 -0.37344205
70397.03 15812.980 1.8877223 -0.37005026
70397.84 15812.636 1.8906608 -0.3696783
