# Sweep from 15812.448Hz to 15836.777Hz step 0.20274166666666435Hz delay 0.9s
# Excitation 0.002180Vpp attenuator 0 dB
# time(s), freq(Hz), absorption(nA), dispersion(nA)
11497.34 15812.448 2.4247365 -0.39293258
11498.26 15812.651 2.4288699 -0.38960556
11499.17 15812.853 2.4281096 -0.39243875
11500.09 15813.056 2.4288936 -0.39357252
11501.00 15813.259 2.4308745 -0.39164485
11501.92 15813.462 2.4300907 -0.39990539
11502.84 15813.664 2.4332717 -0.39528757
11503.76 15813.867 2.4317444 -0.39062249
11504.67 15814.070 2.428977 -0.39322012
11505.59 15814.273 2.4319095 -0.39781639
11506.51 15814.475 2.4292049 -0.39640832
11507.42 15814.678 2.4302815 -0.39475503
11508.34 15814.881 2.4357494 -0.39767701
11509.26 15815.084 2.4344392 -0.39705446
11510.18 15815.286 2.4342048 -0.39867021
11511.09 15815.489 2.4365427 -0.40277754
11512.00 15815.692 2.433512 -0.40313563
11512.92 15815.895 2.4358524 -0.40135083
11513.84 15816.097 2.4315545 -0.40540164
11514.75 15816.300 2.4336321 -0.40667624
11515.66 15816.503 2.4309036 -0.40593309
11516.58 15816.706 2.4346939 -0.40903444
11517.50 15816.908 2.4419014 -0.40411632
11518.41 15817.111 2.443875 -0.41087822
11519.33 15817.314 2.4350152 -0.41041019
11520.24 15817.517 2.430216 -0.4089427
11521.16 15817.719 2.4418184 -0.40846754
11522.08 15817.922 2.4391697 -0.42185764
11523.00 15818.125 2.4410151 -0.41990839
11523.92 15818.328 2.4402098 -0.41207792
11524.83 15818.530 2.4394117 -0.42019238
11525.75 15818.733 2.4400433 -0.41908118
11526.67 15818.936 2.4404517 -0.42358468
11527.58 15819.138 2.4471869 -0.42336805
11528.50 15819.341 2.4485441 -0.42803785
11529.42 15819.544 2.4446103 -0.43363542
11530.33 15819.747 2.4494209 -0.42049618
11531.25 15819.949 2.449339 -0.42828535
11532.17 15820.152 2.4506196 -0.43973262
11533.09 15820.355 2.457426 -0.43999947
11534.01 15820.558 2.4539688 -0.44107526
11534.92 15820.760 2.4578633 -0.43882108
11535.84 15820.963 2.4485587 -0.44069802
11536.75 15821.166 2.4564929 -0.45145217
11537.67 15821.369 2.4574999 -0.45088174
11538.58 15821.571 2.4620701 -0.45498339
11539.50 15821.774 2.4639705 -0.45840929
11540.42 15821.977 2.4719807 -0.46754255
11541.33 15822.180 2.4696603 -0.46442011
11542.24 15822.382 2.4704354 -0.47525018
11543.16 15822.585 2.4761391 -0.47673902
11544.08 15822.788 2.4817205 -0.47619676
11544.99 15822.991 2.4891679 -0.48853843
11545.91 15823.193 2.4965148 -0.49089465
11546.82 15823.396 2.5033148 -0.49984317
11547.73 15823.599 2.5217762 -0.51078786
11548.65 15823.802 2.5464976 -0.52156651
11549.57 15824.004 2.5760355 -0.54059711
11550.49 15824.207 2.6783346 -0.53780792
11551.40 15824.410 2.8218192 -0.18583879
11552.32 15824.612 2.8027935 -0.17975904
11553.24 15824.815 2.7957985 -0.16752895
11554.16 15825.018 2.7835649 -0.15995344
11555.07 15825.221 2.7706899 -0.15546681
11555.99 15825.423 2.7605051 -0.14106357
11556.90 15825.626 2.7418737 -0.13476972
11557.82 15825.829 2.7323254 -0.13685317
11558.73 15826.032 2.7219385 -0.13170617
11559.64 15826.234 2.7061601 -0.12579494
11560.56 15826.437 2.6995397 -0.1270123
11561.48 15826.640 2.6869943 -0.12550684
11562.39 15826.843 2.6727116 -0.12343459
11563.31 15827.045 2.6597245 -0.13172244
11564.22 15827.248 2.6521859 -0.12645778
11565.14 15827.451 2.6261516 -0.13013211
11566.05 15827.654 2.620626 -0.13077288
11566.97 15827.856 2.6023381 -0.1312182
11567.89 15828.059 2.5963486 -0.13817063
11568.81 15828.262 2.5883885 -0.1395403
11569.72 15828.465 2.5752431 -0.14576645
11570.64 15828.667 2.5638019 -0.14826952
11571.55 15828.870 2.5583424 -0.15608775
11572.47 15829.073 2.5486459 -0.15423954
11573.39 15829.276 2.5345971 -0.15441618
11574.31 15829.478 2.5339243 -0.17169026
11575.22 15829.681 2.5203101 -0.16980937
11576.13 15829.884 2.5237744 -0.17784062
11577.05 15830.087 2.5125094 -0.17971958
11577.96 15830.289 2.510089 -0.17892954
11578.88 15830.492 2.5029517 -0.18588968
11579.80 15830.695 2.4976525 -0.19559106
11580.72 15830.897 2.4926276 -0.19275701
11581.64 15831.100 2.488719 -0.19894642
11582.55 15831.303 2.4854123 -0.20910549
11583.47 15831.506 2.4802148 -0.20909118
11584.39 15831.708 2.4818642 -0.21700131
11585.30 15831.911 2.4717044 -0.21374959
11586.21 15832.114 2.4677795 -0.21967462
11587.13 15832.317 2.4688545 -0.2290532
11588.05 15832.519 2.4642552 -0.22723563
11588.96 15832.722 2.4640194 -0.22521589
11589.88 15832.925 2.4621709 -0.23349351
11590.79 15833.128 2.4633828 -0.23911764
11591.71 15833.330 2.4554897 -0.24074731
11592.63 15833.533 2.4509898 -0.23873429
11593.54 15833.736 2.4518715 -0.2457717
11594.46 15833.939 2.4475087 -0.249252
11595.37 15834.141 2.4497454 -0.24640116
11596.29 15834.344 2.4542551 -0.24794525
11597.20 15834.547 2.4428016 -0.25688067
11598.12 15834.750 2.4419562 -0.25005667
11599.04 15834.952 2.4437816 -0.25616603
11599.95 15835.155 2.4518365 -0.25856309
11600.87 15835.358 2.4435558 -0.25421818
11601.79 15835.561 2.4431806 -0.2586799
11602.70 15835.763 2.4407104 -0.26361906
11603.62 15835.966 2.447086 -0.25928151
11604.53 15836.169 2.4350218 -0.26884564
11605.45 15836.372 2.4368742 -0.27325535
11606.36 15836.574 2.4363123 -0.26785065
11607.28 15836.777 2.4343626 -0.27202262
